"date","open","high","low","close","volume"
2023-10-13,120400,121500,115300,117000,511942
2023-10-12,112100,119000,111600,118900,558207
2023-10-11,105000,113900,103700,111000,735782
2023-10-10,110000,111800,102000,103000,876714
2023-10-06,108100,114300,108100,110100,508400
2023-10-05,121000,122000,109100,111000,744369
2023-10-04,120200,121500,117900,119100,504886
2023-09-27,116300,121500,116000,120300,388982
2023-09-26,118500,123800,118200,118700,479658
2023-09-25,125800,127000,120800,120800,562574
2023-09-22,126100,128800,122500,127500,523074
2023-09-21,130800,133400,129200,129500,638277
2023-09-20,129300,132200,129000,130800,424155
2023-09-19,132300,132800,128600,130000,418858
2023-09-18,131000,132900,128000,131900,701100
2023-09-15,120300,131700,118500,129300,1476406
2023-09-14,117000,120900,113800,120400,874195
2023-09-13,122000,125400,116000,117000,1203086
2023-09-12,135800,135900,123000,123400,1524173
2023-09-11,138400,142000,130800,131300,1368033
2023-09-08,129400,137700,127500,136200,1141965
2023-09-07,133200,133400,126000,130100,889706
2023-09-06,128800,138000,128800,132900,2062772
2023-09-05,126000,129300,123400,128200,719185
2023-09-04,123000,127500,121600,126300,616639
2023-09-01,128600,128600,124500,125800,590604
2023-08-31,128500,129500,126000,129000,897335
2023-08-30,135200,135800,129100,129500,1039854
2023-08-29,132500,137900,127300,133600,1600086
2023-08-28,129200,132600,127600,132000,1005752
2023-08-25,121600,130000,120300,126500,1127350
2023-08-24,126100,127400,121500,124400,982491
2023-08-23,130700,130900,123300,123900,1001401
2023-08-22,134000,136500,127000,129600,2045816
2023-08-21,126000,136800,126000,132900,1439390
2023-08-18,134200,135700,125000,127800,1705722
2023-08-17,119200,132700,118500,132500,2969257
2023-08-16,126100,128800,119600,119800,1740805
2023-08-14,123200,134900,122000,131100,2344460
2023-08-11,139800,139900,128000,129900,2958557
2023-08-10,145000,147300,141300,143600,1372576
2023-08-09,142000,153400,141300,143100,2842013
2023-08-08,142000,145500,134100,139900,3056904
2023-08-07,157800,160000,132500,146100,3951291
2023-08-04,152000,158400,148000,155400,2325983
2023-08-03,146100,149000,135000,149000,2847448
2023-08-02,143700,154700,137400,138100,3220373
2023-08-01,163000,171200,146800,151900,5524075
2023-07-31,146700,160800,141000,159100,4556204
2023-07-28,110000,134600,105400,134100,7337957
2023-07-27,156800,163500,108200,118000,8250389
2023-07-26,163500,194000,126200,152200,8541007
2023-07-25,143200,157500,143200,150900,2828497
2023-07-24,130500,145000,126500,143200,5132902
2023-07-21,111700,128900,110900,122400,9514146
2023-07-20,106000,111300,105900,108500,2651052
2023-07-19,114100,116400,109400,111300,3153673
2023-07-18,106500,117100,105000,111200,5183703
2023-07-17,105400,115200,102000,112500,6387697
2023-07-14,95000,103600,90500,101300,5960077
2023-07-13,89700,97100,86500,95000,6089556
2023-07-12,101300,101300,92700,94300,6351466
2023-07-11,89100,108800,88500,105900,10413568
2023-07-10,85600,88500,83000,86900,4623967
2023-07-07,74200,87800,74000,83000,9965616
2023-07-06,73000,75300,70900,73600,4583816
2023-07-05,61100,73600,60700,71200,9219700
2023-07-04,56600,60400,56500,58800,1709090
2023-07-03,53100,56400,52600,55800,1011297
2023-06-30,54600,56000,52400,53100,822038
2023-06-29,53400,53700,52000,52300,545793
2023-06-28,54500,54900,53100,53700,681055
2023-06-27,55300,55400,52700,53600,949194
2023-06-26,56500,57400,55300,56000,789716
2023-06-23,59400,59600,57700,58100,619341
2023-06-22,59200,60000,58800,59600,617807
2023-06-21,60000,60800,58700,58800,752381
2023-06-20,59500,62800,57600,60300,1856518
2023-06-19,60000,61200,59200,59400,991452
2023-06-16,61300,61400,58500,60300,1249341
2023-06-15,61700,63500,58900,60400,2907785
2023-06-14,56200,64500,56000,58600,7353269
2023-06-13,55200,56200,54000,55300,1347114
2023-06-12,54800,55600,53000,55000,1821826
2023-06-09,56200,56200,53500,54800,3118974
2023-06-08,52500,58900,50600,57000,5398629
2023-06-07,51200,52800,50000,52200,1660960
2023-06-05,48800,52200,48750,50500,1942515
2023-06-02,48300,48850,47850,48400,921617
2023-06-01,48300,51600,47700,48200,1957084
2023-05-31,49050,49350,47700,48250,1093217
2023-05-30,48300,48900,46100,48900,1622261
2023-05-26,52100,52100,48350,48950,2046788
2023-05-25,52800,53400,51500,52200,703857
2023-05-24,54500,54900,53100,53500,921855
2023-05-23,54300,56600,53500,55100,1741165
2023-05-22,53600,55700,51700,55000,2315184
2023-05-19,53400,54900,51600,54700,1182612
2023-05-18,55200,56500,53500,54000,1682443
2023-05-17,53600,54300,50800,53500,3062670
2023-05-16,59300,60000,54000,55900,3274131
2023-05-15,63200,66900,60700,61500,1669850
2023-05-12,66400,70200,62000,62000,2886001
2023-05-11,69100,70400,62000,67800,5587318
2023-05-10,59200,60600,57200,57400,807793
2023-05-09,60100,61600,58000,59700,790522
2023-05-08,63000,63600,60200,60300,601031
2023-05-04,61100,62800,60100,62000,776427
2023-05-03,65400,65900,62000,62300,879776
2023-05-02,67000,70500,65000,65400,1464968
2023-04-28,69900,72000,65600,66800,2535635
2023-04-27,58600,67100,57600,66200,2988137
2023-04-26,62400,66600,59700,60000,3217048
2023-04-25,62800,63200,57500,58900,2161175
2023-04-24,62400,64100,59200,63600,3398569
2023-04-21,67300,68800,64500,65400,1659541
2023-04-20,67700,71900,67200,68200,1874645
2023-04-19,74900,75400,69200,69700,2404552
2023-04-18,78200,78900,75000,75800,1484084
2023-04-17,77000,79300,74200,77600,2072953
2023-04-14,75000,82400,74800,77100,3655784
2023-04-13,70100,74700,66000,71200,3867669
2023-04-12,86000,86000,74700,75000,3980826
2023-04-11,89500,89700,81500,87800,1991383
2023-04-10,85500,92500,84200,89500,3597223
2023-04-07,81900,85000,80600,84900,2341406
2023-04-06,80700,83000,79500,81100,1348294
2023-04-05,77900,80000,76400,79900,1325008
2023-04-04,78800,84500,77000,77900,2897517
2023-04-03,79000,80000,72800,78800,2361129
2023-03-31,77700,80400,76100,78500,1196258
2023-03-30,78000,82000,77000,79000,1885339
2023-03-29,75500,78600,73000,77000,1929546
2023-03-28,80000,80300,72100,75500,2569478
2023-03-27,76400,82500,73200,77800,4088638
