"date","open","high","low","close","volume"
2024-04-19,17220,22350,16890,21000,23990207
2024-04-18,17240,17770,17050,17230,2478663
2024-04-17,18600,19920,17900,19030,6745165
2024-04-16,20450,22400,19840,20200,15234638
2024-04-15,17660,20550,17640,18830,14698875
2024-04-12,14590,16380,14400,16230,4314946
2024-04-11,15500,15890,15020,15110,1715221
2024-04-09,14130,16440,13800,15300,8738926
2024-04-08,14330,15100,14040,14350,1890709
2024-04-05,15140,15600,14230,14470,4025259
2024-04-04,13780,14100,13620,13820,990306
2024-04-03,15220,16190,14040,14200,4253322
2024-04-02,12810,15710,12650,15310,8178530
2024-04-01,12440,12580,12390,12520,48036
2024-03-29,12550,12610,12320,12430,75492
2024-03-28,12420,12440,12290,12410,59685
2024-03-27,12620,12750,12370,12410,121701
2024-03-26,12720,12800,12580,12710,93851
2024-03-25,12490,13000,12430,12610,163096
2024-03-22,12540,12560,12380,12460,43321
2024-03-21,12550,12590,12400,12500,66004
2024-03-20,12630,12810,12520,12610,83970
2024-03-19,12660,12810,12500,12510,177418
2024-03-18,12350,12500,12300,12410,64189
2024-03-15,12780,12850,12460,12500,198396
2024-03-14,12710,12850,12330,12410,304788
2024-03-13,12000,12410,11950,12190,90044
2024-03-12,11980,12100,11890,12050,96651
2024-03-11,12220,12350,11940,12080,127116
2024-03-08,12440,12490,12290,12360,86775
2024-03-07,12670,12710,12420,12440,96695
2024-03-06,12940,12940,12620,12680,69043
2024-03-05,12650,12940,12510,12940,114127
2024-03-04,12590,12870,12590,12800,81850
2024-02-29,12510,12590,12410,12510,71249
2024-02-28,12680,12860,12530,12560,115266
2024-02-27,12700,13350,12540,12590,251458
2024-02-26,12830,12980,12500,12700,98520
2024-02-23,13250,13270,12890,12900,97107
2024-02-22,13150,13220,13080,13220,91434
2024-02-21,13350,13350,13090,13120,153120
2024-02-20,13600,13800,13320,13440,372279
2024-02-19,13490,13640,13080,13350,162049
2024-02-16,13330,13670,13170,13350,529763
2024-02-15,13110,13170,12820,13070,341819
2024-02-14,12810,14090,12810,13140,1825123
2024-02-13,12530,12870,12420,12780,229923
2024-02-08,12410,12560,12310,12400,90389
2024-02-07,12410,12530,12340,12410,91445
2024-02-06,12780,12960,12360,12360,166102
2024-02-05,12950,13430,12780,12900,458933
2024-02-02,11950,12800,11930,12700,356296
2024-02-01,11840,12210,11750,12150,198373
2024-01-31,12400,12590,11990,12150,302622
2024-01-30,12700,12700,12240,12360,374117
2024-01-29,13080,13790,12770,13150,1828120
2024-01-26,12900,12990,12430,12440,329470
2024-01-25,12970,13150,12280,12540,381831
2024-01-24,13130,13360,12500,13070,553751
2024-01-23,13750,14250,13050,13080,930944
2024-01-22,13330,14360,12820,13500,2215711
2024-01-19,14150,14420,13720,13870,888510
2024-01-18,14490,15140,13700,14650,2750583
2024-01-17,14270,15600,14130,14640,4870847
2024-01-16,13660,16410,13100,14670,16356348
2024-01-15,13400,13920,13010,13410,3162924
2024-01-12,13280,14400,12480,13400,9416074
2024-01-11,12120,12360,11910,12110,532089
2024-01-10,12380,13490,12170,12330,3422706
2024-01-09,11400,14100,11350,12510,9491272
2024-01-08,12120,12120,11600,11700,601736
2024-01-05,12480,12590,12000,12020,2245114
2024-01-04,12000,14390,12000,14110,10869946
2024-01-03,11140,11170,11060,11100,69411
2024-01-02,11270,11270,11070,11160,102803
2023-12-28,11220,11330,11140,11290,99946
2023-12-27,11110,11240,10990,11230,108837
2023-12-26,11270,11270,11100,11100,122750
2023-12-22,11160,11280,10990,11280,104514
2023-12-21,11310,11410,11170,11210,174125
2023-12-20,11460,11460,11210,11270,161586
2023-12-19,11430,11450,11180,11310,270120
2023-12-18,10990,11170,10970,11160,151927
2023-12-15,11010,11240,10940,10940,248898
2023-12-14,10960,10990,10830,10940,99327
2023-12-13,10850,10980,10710,10980,161410
2023-12-12,11110,11130,10900,11000,100342
