"date","open","high","low","close","volume"
2024-04-19,175000,175400,171000,172900,498541
2024-04-18,172900,177800,172800,177100,474859
2024-04-17,173200,177000,169700,171000,686492
2024-04-16,177300,178300,171800,172000,635729
2024-04-15,180000,180800,178500,178600,362320
2024-04-12,179400,183300,178100,182200,478462
2024-04-11,177700,180700,177500,179500,525614
2024-04-09,190000,190700,181300,181300,777489
2024-04-08,177000,190900,176100,188500,1052158
2024-04-05,178000,179300,177300,177500,335027
2024-04-04,182400,182700,179600,179600,319262
2024-04-03,181600,182300,179600,180500,477642
2024-04-02,186800,187700,183800,183800,515062
2024-04-01,193500,194100,187000,188100,674352
2024-03-29,184000,192800,184000,191200,1432508
2024-03-28,182500,186300,182000,183800,896928
2024-03-27,184500,186000,180300,184200,644326
2024-03-26,188800,191500,185500,186400,690399
2024-03-25,190200,192400,188900,188900,646054
2024-03-22,185600,188900,185500,188200,571289
2024-03-21,185000,185800,183200,185800,595624
2024-03-20,185300,185500,183000,183100,374043
2024-03-19,181000,184800,180500,184400,614411
2024-03-18,180900,184400,180300,182500,534945
2024-03-15,180200,182300,178800,180800,1046380
2024-03-14,178700,180500,178600,179400,1833620
2024-03-13,181800,182000,177700,178800,457993
2024-03-12,180300,182000,176000,181700,422573
2024-03-11,181200,182600,179300,179500,380708
2024-03-08,179800,181300,177900,180300,519400
2024-03-07,181400,183100,176700,177100,539907
2024-03-06,176000,180900,174500,180600,659660
2024-03-05,175000,180000,172300,175800,988461
2024-03-04,180400,181300,175100,176100,916608
2024-02-29,189600,191300,179700,179700,1353256
2024-02-28,190200,193400,186500,190000,816144
2024-02-27,182000,191400,181300,190100,1624711
2024-02-26,182000,183200,180800,181500,484919
2024-02-23,177200,184400,176800,180000,824438
2024-02-22,177600,179600,175400,176500,514715
2024-02-21,179900,180000,176900,177000,550261
2024-02-20,182500,183000,179700,179900,440423
2024-02-19,182200,183800,181600,182400,294585
2024-02-16,184400,184500,182000,182200,295225
2024-02-15,186100,186100,182600,182600,358883
2024-02-14,184800,186000,182700,184200,483049
2024-02-13,181600,188300,181400,187500,933154
2024-02-08,179600,182400,179200,179600,643612
2024-02-07,184100,185500,178700,179000,749892
2024-02-06,181200,186200,181200,183000,573943
2024-02-05,184000,184400,179500,180900,512448
2024-02-02,178700,184000,178700,184000,543741
2024-02-01,177700,179800,173700,178700,626055
2024-01-31,179600,181100,176100,179700,456299
2024-01-30,184100,185100,179600,179600,439604
2024-01-29,184000,187500,181700,181700,752905
2024-01-26,180800,184200,179200,182200,385387
2024-01-25,180400,183900,179000,182000,468508
2024-01-24,182900,183100,180500,180700,296318
2024-01-23,186100,188500,180800,181600,651716
2024-01-22,178000,186300,177800,183600,1060728
2024-01-19,175900,180900,174900,176000,801175
2024-01-18,178000,179500,173700,174700,807755
2024-01-17,186600,186700,177100,178000,1280203
2024-01-16,192400,194300,186000,187500,1163432
2024-01-15,196500,199000,186300,188100,1423409
2024-01-12,198200,205500,194600,196900,1729666
2024-01-11,207000,209000,197700,205000,1325154
2024-01-10,206000,210000,205000,206000,409471
2024-01-09,211000,214000,204000,206000,617985
2024-01-08,213000,216000,204500,206000,901789
2024-01-05,215000,220500,213000,214500,970137
2024-01-04,228500,229000,214500,218000,1593074
2024-01-03,228500,233000,224000,231500,1896462
2024-01-02,203500,241000,203500,231500,5985174
2023-12-28,190100,202500,189200,201500,1168768
2023-12-27,188800,190500,186200,189800,504547
2023-12-26,187300,189800,187300,188800,610597
2023-12-22,189300,191300,184800,185500,694441
2023-12-21,185100,189400,184800,187700,565199
2023-12-20,183200,189300,181100,186300,864375
2023-12-19,177000,181400,177000,180700,426670
2023-12-18,176000,178800,174100,177200,659264
2023-12-15,183800,184000,170100,170100,1592029
2023-12-14,182700,184300,177700,183500,2449173
2023-12-13,181600,183600,176200,179700,869873
2023-12-12,178600,184900,177300,183400,1329166
2023-12-11,169400,177900,168700,177700,1198607
2023-12-08,158700,167900,158500,167700,715247
2023-12-07,159700,159800,157500,157600,334778
2023-12-06,163000,163300,160100,160100,277472
2023-12-05,161700,163500,161700,162600,251068
2023-12-04,163900,164800,161600,162600,228258
2023-12-01,164000,164300,161900,163100,239925
2023-11-30,161000,163000,160600,162900,370771
2023-11-29,164000,164900,161600,161700,296616
2023-11-28,162800,165500,162800,165000,301166
2023-11-27,166700,167800,161600,162800,457392
2023-11-24,173100,173200,167000,168000,514846
2023-11-23,171500,173000,171100,172900,311317
2023-11-22,171900,172800,170000,172300,374864
2023-11-21,169900,172200,169500,172200,354688
2023-11-20,167900,170500,167500,169900,368107
2023-11-17,168800,169300,167100,168400,402600
2023-11-16,166000,168200,165100,168200,516886
2023-11-15,161200,165000,160300,165000,637929
