"date","open","high","low","close","volume"
2023-12-15,59400,60000,57500,58300,1093605
2023-12-14,59400,59500,57100,59200,1123569
2023-12-13,58900,59100,57700,58600,510213
2023-12-12,59500,60000,58700,58900,517824
2023-12-11,60600,60600,58700,58900,504953
2023-12-08,60400,60800,59100,60300,737859
2023-12-07,57200,59500,57100,58900,685390
2023-12-06,58400,59000,57400,57900,601332
2023-12-05,59500,61100,57100,57800,1131547
2023-12-04,61000,61600,59500,59800,1099046
2023-12-01,62500,63000,61600,62000,755785
2023-11-30,61700,63600,61000,63600,1634387
2023-11-29,61200,62000,60200,61100,827016
2023-11-28,60300,61700,59500,61600,1081795
2023-11-27,60400,61200,59600,59700,782130
2023-11-24,59700,61000,59100,60800,714189
2023-11-23,61700,61800,59600,59700,1182420
2023-11-22,60200,62700,60100,61700,1225169
2023-11-21,62800,63000,60700,61500,1273028
2023-11-20,62800,63200,60300,62000,1255859
2023-11-17,62900,64300,61300,62800,1499992
2023-11-16,61700,63000,60200,62400,1539467
2023-11-15,61700,63400,60500,62300,2750021
2023-11-14,58300,60000,57000,59500,2266601
2023-11-13,61100,63300,56500,57800,7178821
2023-11-10,61400,67900,60400,66300,4111622
2023-11-09,61100,62300,60100,61500,1334881
2023-11-08,63100,64500,59600,60800,2610160
2023-11-07,58100,66500,57700,62600,6462160
2023-11-06,57700,58700,55800,58500,1676140
2023-11-03,58300,58600,56000,56500,1083856
2023-11-02,55300,57700,54300,57400,1580494
2023-11-01,53000,54500,51600,52700,1001234
2023-10-31,57400,58100,51600,52500,2167824
2023-10-30,56500,57600,56100,57000,663365
2023-10-27,59000,59200,56400,57200,1078348
2023-10-26,56000,59400,55800,58100,1530847
2023-10-25,59000,61700,58800,59500,2266337
2023-10-24,56200,58800,55800,58600,1398469
2023-10-23,58400,59000,55200,55400,1503157
2023-10-20,58400,59900,56500,58500,2110682
2023-10-19,57300,61700,57200,58700,3210534
2023-10-18,57100,59000,56700,58500,1385962
2023-10-17,58900,59600,56600,58900,2232466
2023-10-16,56400,58400,55800,58400,2137969
2023-10-13,55200,59400,54700,57300,3977838
2023-10-12,52900,55800,52300,55700,2638760
2023-10-11,51200,53200,51200,51500,1464875
2023-10-10,53700,54400,49750,49750,1647348
2023-10-06,53600,54400,53000,53100,904497
2023-10-05,56100,56200,52100,53100,1547955
2023-10-04,51600,55500,51500,54200,2596338
2023-09-27,50000,52900,48600,52700,1445980
2023-09-26,50300,51600,49700,50400,1036580
2023-09-25,50000,50900,49150,49800,734101
2023-09-22,47500,50600,47450,49800,1607929
2023-09-21,48450,49200,47950,48450,1062342
2023-09-20,49300,50300,48800,49700,863206
2023-09-19,50800,51300,49300,49550,1082918
2023-09-18,52200,52900,50200,50300,1904033
2023-09-15,54500,55200,53400,54100,1289914
2023-09-14,54900,55500,53400,53800,1806206
2023-09-13,53500,56900,52700,53100,3302859
2023-09-12,53500,54200,52400,52800,1394502
2023-09-11,53400,54200,51600,53300,1755985
2023-09-08,57000,57000,52600,54200,2618078
2023-09-07,56600,58200,56500,57300,1157594
2023-09-06,58800,59500,56700,57500,1350634
2023-09-05,58000,60400,58000,58800,2094606
