Price,Close,High,Low,Open,Volume
Ticker,SCHD,SCHD,SCHD,SCHD,SCHD
Date,,,,,
2023-06-12,23.425689697265625,23.432184634765537,23.279543382585935,23.33475499721322,8997900
2023-06-13,23.571836471557617,23.62380154762379,23.41919521640176,23.467910036127776,9424800
2023-06-14,23.519874572753906,23.675764234640404,23.38347158319106,23.636792748344458,9975300
2023-06-15,23.825157165527344,23.860882109315035,23.526369598573073,23.529616138148455,11187900
2023-06-16,23.818662643432617,23.977800694289364,23.808919307834117,23.925837476664864,12838800
2023-06-20,23.591323852539062,23.740718572551845,23.552350508904723,23.724480298821305,9382500
2023-06-21,23.2957820892334,23.419195195785502,23.201598989501925,23.32825863568882,9037800
2023-06-22,23.195104598999023,23.282792763178023,23.13339804426746,23.256811153730588,7303200
2023-06-23,22.96451759338379,23.17561887566411,22.941784381068786,23.09117910609253,9089400
2023-06-26,23.081436157226562,23.146389255417446,22.932041429695566,22.964517978791008,9741300
2023-06-27,23.279544830322266,23.302279900512655,23.061948614557767,23.100920100332058,11336100
2023-06-28,23.227582931518555,23.256812941275303,23.110664750843,23.2340778697918,8761200
2023-06-29,23.386716842651367,23.393213638637807,23.195104103130262,23.22758064965744,8395200
2023-06-30,23.584829330444336,23.63029575435075,23.464662757687837,23.513379438089483,8362200
2023-07-03,23.7244815826416,23.73097652081502,23.526372030716757,23.549105243499426,5321700
2023-07-05,23.620553970336914,23.704993737469724,23.539360742954553,23.610810634382926,7522800
2023-07-06,23.363985061645508,23.441929893091768,23.237325407427097,23.42894001702641,7891500
2023-07-07,23.32176399230957,23.5328652636357,23.269800773984795,23.295782383147184,6875100
2023-07-10,23.506885528564453,23.58158196397978,23.321765851642013,23.325014249928017,9162300
2023-07-11,23.779691696166992,23.795928111395995,23.532865477703407,23.532865477703407,9109500
2023-07-12,23.851139068603516,24.000533783102256,23.815414124374385,23.93558069057747,8286000
2023-07-13,23.96156120300293,23.987544670860732,23.87387303862456,23.896608108412313,8994300
2023-07-14,23.831653594970703,23.951818308860442,23.763452101052273,23.94207683117324,9302100
2023-07-17,23.76995086669922,23.828409029422485,23.688757631885277,23.763454069901034,9975300
2023-07-18,23.96156120300293,24.068736039099004,23.74396684944333,23.747213389162077,9374400
2023-07-19,24.195398330688477,24.21813340295889,24.020023841132218,24.020023841132218,10055100
2023-07-20,24.292827606201172,24.338295888206623,24.133691406709087,24.175911290588672,8472000
2023-07-21,24.348039627075195,24.409746184028254,24.286333070122136,24.36102950309091,7883100
2023-07-24,24.49094009399414,24.542903316203862,24.37402191484656,24.38376525130481,7482000
2023-07-25,24.46495819091797,24.562387837634887,24.43897472177179,24.49418634159249,11333400
2023-07-26,24.510425567626953,24.58512199901679,24.344792572643883,24.36752578436653,7806000
2023-07-27,24.409744262695312,24.69229355648651,24.380514256433653,24.62084552732114,10443000
2023-07-28,24.562387466430664,24.640334155988437,24.474701157380895,24.549397590405277,6849300
