Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,051910.KS,051910.KS,051910.KS,051910.KS,051910.KS,,,,,,,
Date,,,,,,,,,,,,
2024-08-19,288423.78125,297390.3236722798,286431.21626727114,292408.91121545766,134205,297614.4953125,,324107.0394239916,271121.9512010084,-13425.914072404383,-14919.370169989452,41.85022574277346
2024-08-20,290416.34375,292408.9087156947,282446.0838872213,290914.48499142367,186647,296194.7921875,,320886.77405379317,271502.8103212068,-12642.714023460401,-14464.038940683642,44.00000223051354
2024-08-21,296892.1875,304862.4475671141,290914.4924496644,290914.4924496644,315259,295472.4875,,319122.4478574145,271822.5271425855,-11368.427714191377,-13844.916695385189,46.835441027617435
2024-08-22,314825.28125,316319.7050534019,298386.6194125791,299382.90194818034,477216,295771.371875,,320268.9485098147,271273.79524018534,-8809.940332693513,-12837.921422846855,50.78124885132086
2024-08-23,313829.0,317814.13015873014,310840.1523809524,314825.2825396825,278249,295871.0,,320658.16380178236,271083.83619821764,-6784.504673882446,-11627.238073053975,52.631581620848145
2024-08-26,315821.5625,323791.8227523659,313828.99743690854,314327.1387026814,306821,296369.1421875,,322372.07351944514,270366.2108555549,-4961.357736934966,-10294.062005830174,74.8603222733667
2024-08-27,317814.125,327776.9502351097,314825.27742946707,319308.54878526647,266835,296917.0984375,,324276.896191954,269557.30068304605,-3317.475718107831,-8898.744748285706,69.79865178416927
2024-08-28,312334.5625,323791.81120414677,311836.4212519936,317814.11622807017,263763,297340.51875,,325406.14159116964,269274.89590883034,-2428.8440712421434,-7604.764612876994,64.77985783636032
2024-08-29,319308.5625,326282.5404641186,308349.45427067083,310840.16068642744,365891,298087.73125,,327694.17033663136,268481.29216336866,-1148.61307644716,-6313.534305591027,80.13696452311201
2024-08-30,320304.84375,328275.1042476672,318810.4199066874,324788.1152799378,300871,298461.3375,,329024.35149771394,267898.3235022861,-53.01805971097201,-5061.431056415016,77.51935609525519
2024-09-02,338736.0625,346208.1815257353,325286.24825367646,326780.6720588235,628791,300030.4828125,,335365.5983712815,264695.36725371843,2276.254951232986,-3593.893854885416,81.64554650115699
2024-09-03,331762.09375,345211.9083614865,330267.6699042793,343219.3432338589,300066,303044.2375,,338410.64956201724,267677.82543798274,3518.9157295937766,-2171.3319379895775,76.33136336285506
2024-09-04,322795.53125,326282.5200135031,317814.1187307099,321301.1074942129,288314,304762.825,327478.0640625,340476.61340051435,269049.03659948567,3737.1274137272267,-989.6400676462167,66.27905831668656
2024-09-05,320304.84375,329271.3868098756,316817.8547822706,325784.3978421462,243178,306331.9703125,326647.82864583336,341872.55061433243,270791.3900106676,3666.815315384709,-58.34899104003159,67.05883525118557
2024-09-06,310342.0,322297.3900481541,307353.1524879615,320304.82504012843,274201,308075.4640625,325726.2671875,340528.94787569955,275621.9802493004,2775.183653545042,508.3575378769832,61.956518403836
2024-09-09,308349.4375,308847.5787560582,300379.1774030695,303368.0249394184,261256,309246.0953125,324871.12447916664,339819.92732964124,278672.2632953588,1886.0349594707368,783.8930221957339,59.78260906624045
2024-09-10,305360.59375,314825.2777324633,301873.6049143556,308349.44132340944,241348,310068.028125,324065.79635416664,339190.7104792217,280945.3457707783,929.4889318117057,813.0122041189284,54.802261088445654
2024-09-11,314327.125,317315.9724643423,305858.7238510301,305858.7238510301,258088,311413.009375,323468.0265625,338550.03935561946,284275.9793943806,884.7446630554041,827.3586959062236,49.68552516173527
2024-09-12,319308.5625,323791.8340483619,317315.9973673947,323791.8340483619,267862,312633.45625,322820.4432291667,338822.4272751519,286444.4852248481,1236.9856814023806,909.2840930054551,53.29341699761238
2024-09-13,320304.84375,324788.1152799378,314327.1483767496,321799.2675933126,166966,314078.0671875,322156.2552083333,338463.7142083084,289692.42016669165,1578.3367136524757,1043.0946171348594,52.72727756619586
2024-09-19,318312.25,330267.6396713615,311338.2726917058,326282.50978090765,254625,315572.490625,321558.48541666666,336796.8750466832,294348.10620331677,1668.836890331062,1168.2430717741,50.303020164338065
2024-09-20,315323.40625,324788.089849921,315323.40625,322297.3836394155,338962,316817.84375,320902.5994791667,334445.37052632304,299190.31697367696,1482.2972208873834,1231.0539015967565,51.874996324228526
2024-09-23,317814.125,319308.54878526647,312334.5711206897,317814.125,212728,317863.940625,320371.24895833334,332788.59703177,302939.28421823,1517.945446014055,1288.4322104802163,49.00661398742013
2024-09-24,344713.75,345710.03251445084,319806.68713872833,319806.68713872833,619371,319358.3640625,320271.62083333335,338415.3604931591,300301.3676318409,3674.4154748624424,1765.6288633566614,62.06895272977419
2024-09-25,347204.46875,358163.5768023673,343717.4798242468,348200.7513002152,554936,321027.1375,320346.3421875,343571.54453271115,298482.7304672889,5520.773654446064,2516.657821574542,54.97075937576468
2024-09-26,356669.15625,357665.4388093576,347702.61321578216,351189.6021735335,310692,323069.5171875,320553.9010416667,350499.8809393529,295639.15343564714,7659.453582559188,3545.2169737714717,64.20453289819335
2024-09-27,356171.0,367130.1076923077,352185.86993006995,358661.7062937063,477097,324987.3609375,320587.11041666666,356000.24311065534,293974.4787643447,9208.031334413565,4677.7798458998905,71.06916626061088
2024-09-30,355174.71875,367130.10900245444,355174.71875,362646.837657784,398091,327129.36875,320645.22708333336,360305.02216372854,293953.7153362715,10236.894244448631,5789.602725609639,72.4358634090474
2024-10-02,352185.875,364639.4066478076,352185.875,356669.14639321074,334645,328773.234375,320537.29635416664,363537.3462796862,294009.1224703138,10687.89737345674,6769.26165517906,79.57744363293861
2024-10-04,347204.46875,355174.7291517217,344713.762374462,352684.0227761837,262280,330118.215625,320313.1328125,365577.3063101347,294659.1249398653,10522.07086628693,7519.823497400634,76.35133789052979
2024-10-07,357665.4375,361650.5677228412,348200.7532207521,350691.45961002784,312315,331064.684375,320279.9234375,368450.4820426026,293678.8867073974,11106.733407777327,8237.205479475973,82.20856888735626
2024-10-08,359658.0,366631.97783933516,353182.163434903,356669.15235457063,341075,332459.4796875,320288.22604166664,371975.62457917136,292943.3347958286,11597.180744753918,8909.200532531562,80.53689466726172
2024-10-10,355174.71875,363643.1201788219,355174.71875,363144.978918303,355580,334078.4390625,320188.59791666665,374568.63724175736,293588.2408832427,11491.63208290079,9425.686842605408,74.32429396587571
2024-10-11,353182.15625,362646.8402679831,348698.8848730607,356171.00383462623,268871,335722.3046875,320163.69114583335,376526.3573874466,294918.2519875534,11119.027637484192,9764.355001581165,71.99997490673671
2024-10-14,353182.15625,349695.1674012694,341226.7659114951,348698.8848730607,283883,337864.3125,319964.4348958333,377540.72337782395,298187.90162217605,10700.388512015576,9951.561703668049,73.97260450553148
2024-10-15,340728.625,351687.7328216374,335747.2123538012,349695.1677631579,367113,339483.271875,319541.01510416664,376651.9892151081,302314.55453489185,9257.009057451563,9812.651174424751,65.45454752836966
2024-10-16,337739.78125,344713.75903392327,335747.21616887907,344713.75903392327,244835,341102.23125,319208.92083333334,374658.00215330336,307546.46034669667,7782.236945671204,9406.568328674042,62.048193454055685
2024-10-17,330267.65625,339732.3402149321,330267.65625,337241.63390837103,230137,341899.2578125,319042.87395833334,373476.1582245396,310322.3574004604,5942.0352974595735,8713.661722431149,38.582684555337835
2024-10-18,327278.8125,332758.36643835617,322795.5410958904,330267.6601027397,246908,342297.7703125,318926.64114583336,372859.0795309145,311736.46109408553,4194.140085356892,7809.757395016298,34.374998468427805
2024-10-21,329271.375,334750.9288956127,326282.52742057486,327776.95121028746,142420,342746.096875,318876.82708333334,372191.66815259255,313300.5255974074,2935.860901112843,6834.978096235607,25.663708953471385
2024-10-22,316817.84375,327776.95155267295,315821.5612224843,326780.6690251572,245722,342671.3765625,318619.45416666666,372384.3816784743,312958.37144652574,923.128438800748,5652.608164748636,21.16788187472497
2024-10-23,323293.6875,327278.81770030817,312832.72072419105,316319.7096494607,216204,343069.890625,318694.17552083335,371421.08954472805,314718.69170527195,-147.72716202848824,4492.541099393212,28.378384679193815
2024-10-24,326780.65625,335249.0574028201,323293.66754001525,326780.65625,258256,343518.2171875,318951.5484375,370435.1275676791,316601.30680732086,-706.8703431678005,3452.6588108810097,32.88589247693922
2024-10-25,321301.125,334750.9395348837,319806.7011627907,332758.37441860465,199007,342347.5859375,319159.1072916667,371024.48895630374,313670.68291869626,-1574.0035865884274,2447.326331387122,32.666660253935774
2024-10-28,337739.78125,341226.77014196164,321301.1193307522,321799.2606010324,351780,341874.3515625,319590.8296875,370526.14926479204,313222.55386020796,-924.098323324346,1773.0414004448287,37.654311187079436
2024-10-29,317315.96875,331263.9234203297,310840.13265306124,330765.7821821036,726670,339906.6921875,319781.7838541667,369664.27567836695,310149.1086966331,-2033.6322529797908,1011.706669759905,28.643200239079775
2024-10-30,319308.5625,323791.8340483619,311836.4432527301,312832.72581903276,299121,338063.5703125,319989.34322916664,368144.17677809985,307982.96384690015,-2720.796573901025,265.2060210277191,31.443306803222413
2024-10-31,312334.5625,318810.3987240829,312334.5625,315821.5512360447,250613,335921.5625,320130.48333333334,366957.8068405709,304885.3181594291,-3784.4974341795314,-544.7346700137311,29.901960935056692
2024-11-01,316817.84375,322297.39765133645,309345.72479363205,310840.14858490566,221329,334153.1609375,320338.0421875,365317.6127693467,302988.70910565334,-4217.112453666283,-1279.2102267442415,32.8638554344612
2024-11-04,322297.40625,324289.97135819163,312334.58070904174,318810.4173106646,254453,332907.8078125,320495.7869791667,363866.23059592524,301949.38502907474,-4070.881486555678,-1837.544478706529,40.70352582542207
2024-11-05,320802.96875,324289.95754076086,318312.26247088506,319308.54498253105,206892,331064.684375,320719.9505208333,360149.5277483398,301979.8410016602,-4029.1356406821287,-2275.862711101649,41.32653126544324
2024-11-06,304364.3125,322795.53927986906,297888.4760638298,322297.3980155483,485201,328300.0,321267.90572916664,356437.3365279384,300162.6634720616,-5261.858503422933,-2873.061869565906,37.85047400193418
2024-11-07,304364.3125,303866.1712356792,292907.0634206219,298884.75859247136,365149,325759.4796875,321533.58125,352835.2131100481,298683.7462649519,-6167.7028146481025,-3531.9900585823452,38.94231262233724
2024-11-08,301873.59375,311338.27738242573,300877.31126237626,300877.31126237626,234355,323194.0515625,321749.4421875,349023.8865952034,297364.2165297966,-7005.8124993442325,-4226.754546734723,36.842108422723086
