Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,,,,,,,
Date,,,,,,,,,,,,
2024-07-04,83064.7109375,83162.89617501477,80904.63571217495,81395.56189974882,43857229,,,,,1565.9891051941522,1254.180283128169,72.82755400960728
2024-07-05,85519.3359375,85519.3359375,83653.816554248,84046.55747703789,45791193,,,,,1903.3258599557885,1384.009398493693,86.70442061110396
2024-07-08,85813.8984375,86992.1212993421,85322.97224506579,86304.82462993421,24035809,,,,,2169.4285782453517,1541.0932344440248,85.07184325414367
2024-07-09,86206.640625,86599.3815845672,85322.9734659738,86206.640625,21336201,80001.375390625,,86130.76175753401,73871.989023716,2384.5206422528863,1709.7787160057972,83.63797026973194
2024-07-10,86206.640625,86403.0111047836,85519.3439457574,86010.2701452164,17813847,80572.798046875,,86782.25924414983,74363.33684960018,2525.8660412074823,1872.9961810461343,82.98301532899552
2024-07-11,86010.265625,87188.48844178082,85126.59851241438,86893.93273758562,24677608,81031.765625,,87430.76263304222,74632.76861695778,2592.156698038496,2016.8282844446067,96.49346675434084
2024-07-12,82868.34375,84537.49285396919,82573.78802577015,84341.1223711493,26344386,81284.7625,,87545.78390718886,75023.74109281113,2363.9159326150548,2086.2458140786966,68.63214358809061
2024-07-15,85126.6015625,85715.71299199827,82573.78536800749,83162.89679750576,25193080,81723.984375,,87753.28090373578,75694.68784626422,2338.301529561184,2136.6569571751943,73.6024609889325
2024-07-16,86108.453125,86403.00883694414,85126.60075185291,85322.97122648233,16166688,82129.211328125,,88195.06822369478,76063.35443255524,2369.9102953502006,2183.3076248101956,74.56585632682044
2024-07-17,85126.6015625,86403.00965974625,84832.04584775087,85519.34251549885,18186490,82416.921484375,,88478.0701099513,76355.7728587987,2289.343131990012,2204.514726246159,68.08516041362404
2024-07-18,85322.9765625,85322.9765625,82279.23401539125,82279.23401539125,24721790,82694.901171875,,88753.59074952434,76636.21159422565,2215.7965722976805,2206.7710954564636,69.01408371782357
2024-07-19,82868.34375,84537.49285396919,82573.78802577015,84046.56664691943,18569122,82928.34765625,,88605.49297109773,77251.20234140227,1937.112216301728,2152.8393196255165,57.92684021435103
2024-07-22,81493.7421875,83359.26158697289,81101.00126129518,82868.33542921687,18987560,83063.73984375,,88446.4409135092,77681.03877399079,1587.039593754438,2039.6793744513009,53.370772453414176
2024-07-23,82377.421875,83162.90384758642,81886.4956421335,82671.97761471992,15766389,83233.541015625,,88277.61744912039,78189.46458212961,1365.1732167586451,1904.77814291277,55.61498873483351
2024-07-24,80511.8984375,81788.30658346036,80413.71319550305,81395.56561547256,16939083,83285.628515625,,88185.52778506938,78385.7292461806,1026.9720692062983,1729.2169281714757,42.69665131315443
2024-07-25,78940.9296875,79530.04110307836,78646.37397971081,78940.9296875,20323811,83226.717578125,,88311.7464377779,78141.6887184721,624.9768303067976,1508.3689085985402,30.1775749688787
2024-07-26,79431.859375,79824.60033606304,78940.9331736712,79235.48889446848,14508334,83197.26171875,,88366.60522305594,78027.91821444406,342.0635346698109,1275.1078338127945,30.99419612923279
2024-07-29,79726.4140625,80511.89597444581,79628.22882350677,80119.1550184729,12797136,83167.80625,,88412.45362060882,77923.15887939117,140.0068988041312,1048.0876468110619,30.588271086325165
2024-07-30,79530.046875,79530.046875,78548.19444444445,78940.93541666667,13169636,83128.532421875,,88473.90870336829,77783.15614038172,-35.55972144736734,831.3581731593761,30.23260009714801
2024-07-31,82377.421875,82377.421875,79431.86447780096,79726.42021752086,20744323,83231.62734375,,88425.96742756778,78037.28725993223,54.43434783075645,675.9734080936522,40.70355676859213
2024-08-01,81591.9296875,84537.48671592961,81591.9296875,84439.30148164862,20900338,83157.98828125,,88403.79553721337,77912.18102528663,61.66184187680483,553.1110948502827,46.2857064912213
2024-08-02,78155.4453125,79922.77950298367,78057.26007969535,79530.03857176508,25800275,82789.79375,,88361.35640589304,77218.23109410696,-207.5137963136367,400.98611661749885,31.016080552539222
2024-08-05,70104.2578125,75504.4457392332,68926.03499212184,75308.07526917016,54608790,82004.31171875,,89775.90570234632,74232.71773515368,-1058.3015322598221,109.12858684203465,18.53287345205578
2024-08-06,71184.296875,73933.48351293104,70987.92640086207,73540.74256465517,47295226,81253.19453125,,90138.64756727754,72367.74149522246,-1626.6557416791184,-238.02827886219598,22.692358423325174
2024-08-07,73344.3671875,74620.77518406961,71478.84780789826,71675.21826890897,32710428,80610.080859375,,89841.14485933447,71379.01685941553,-1881.0968125440413,-566.641985598565,28.2142982991585
