Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS,,,,,,,
Date,,,,,,,,,,,,
2024-07-04,40239.23828125,40588.710574015204,39939.69060173698,40039.539828241315,861325,,,,,-735.9819884409371,-510.7174842884898,30.219793920092442
2024-07-05,41437.4296875,41736.97737198795,40039.54049322289,40239.23894954819,1530900,,,,,-649.6992909947003,-538.5138456297319,44.88637879189332
2024-07-08,42336.0703125,43035.01486954599,41137.8796432783,41437.42731058373,1595728,,,,,-503.00847486451676,-531.4127714766889,50.520825055676795
2024-07-09,42385.99609375,43084.94067008981,41936.674580388695,42286.1468685586,1123272,41791.8931640625,,44174.41686262977,39409.369465495234,-378.36479905182205,-500.8031769917156,48.08743029216259
2024-07-10,42685.54296875,42835.31680372807,41537.276900584795,41936.67379385965,1285909,41776.9158203125,,44131.458856460595,39422.3727841644,-252.50217071935185,-451.14297573724286,51.93370356809537
2024-07-11,42286.14453125,43184.78750830136,42036.52148206907,43084.93828862898,1381961,41712.013671875,,43924.04933811956,39499.97800563044,-182.87517577830295,-397.4894157454549,45.40228127717707
2024-07-12,42186.296875,43933.658284023666,41886.74920488166,42286.14609837278,1870201,41629.6380859375,,43620.641515557676,39638.63465631732,-134.20511897800316,-344.83255639196454,51.29870690728255
2024-07-15,41836.82421875,42835.316443541175,41836.82421875,42485.84416486426,1108465,41604.67578125,,43570.74944745054,39638.60211504946,-122.42206564184016,-300.3504582419397,56.42855466221949
2024-07-16,40838.33203125,42086.44731337867,40738.482808679706,41886.74886823808,1196676,41534.78125,,43505.706401040705,39563.856098959295,-191.4470038754298,-278.5697673686377,45.27026598376776
2024-07-17,41137.87890625,41387.5019578656,40488.85897204946,40888.25585463441,1538706,41454.9017578125,,43348.928912603005,39560.87460302199,-219.4491619914843,-266.745646293207,56.15384013515572
2024-07-18,41087.95703125,41087.95703125,40239.23859925577,40738.48473572297,936043,41392.49609375,,43246.09348784265,39538.89869965735,-242.86970140443736,-261.9704573154531,53.96825692528474
