name,code,market,par_value,total_shrs
감성코퍼레이션,036620,KOSDAQ,500,91500000
강남제비스코,000860,KOSPI,500,13000000
강동씨앤엘,198440,KOSDAQ,100,60931896
강스템바이오텍,217730,KOSDAQ,500,56054149
강원랜드,035250,KOSPI,500,213940500
강원에너지,114190,KOSDAQ,500,26123038
갤럭시아머니트리,094480,KOSDAQ,500,39229838
갤럭시아에스엠,011420,KOSPI,500,27549644
경남스틸,039240,KOSDAQ,100,26979604
경남제약,053950,KOSDAQ,100,78147358
경농,002100,KOSPI,500,19522575
경동나비엔,009450,KOSPI,1000,14568592
경동도시가스,267290,KOSPI,2500,5895406
경동인베스트,012320,KOSPI,5000,2365023
경동제약,011040,KOSDAQ,500,30768766
경방,000050,KOSPI,500,27415270
경보제약,214390,KOSPI,500,23906860
경인양행,012610,KOSPI,500,41616365
경인전자,009140,KOSPI,5000,1570797
경창산업,024910,KOSDAQ,500,35819005
계룡건설,013580,KOSPI,5000,8930907
계양전기우,012205,KOSPI,500,1169079
계양전기,012200,KOSPI,500,27222829
고려산업,002140,KOSPI,1000,24939425
고려신용정보,049720,KOSDAQ,500,14300000
고려아연,010130,KOSPI,5000,20703283
고려제강,002240,KOSPI,1000,27000000
고려제약,014570,KOSDAQ,500,11000000
고바이오랩,348150,KOSDAQ,500,19418889
고스트스튜디오,950190,KOSDAQ,무액면,13017059
고영,098460,KOSDAQ,100,68654755
골드앤에스,035290,KOSDAQ,500,47676480
골프존,215000,KOSDAQ GLOBAL,500,6275415
골프존홀딩스,121440,KOSDAQ,500,42836818
공구우먼,366030,KOSDAQ,100,22653850
광동제약,009290,KOSPI,1000,52420851
광동헬스바이오,086220,KONEX,500,10573865
광림,014200,KOSDAQ,100,15117780
광명전기,017040,KOSPI,500,43337615
광무,029480,KOSDAQ,500,56300885
광전자,017900,KOSPI,500,57943763
광주신세계,037710,KOSPI,1000,7957190
광진실업,026910,KOSDAQ,500,6405405
교보13호스팩,440790,KOSDAQ,100,4050000
교보14호스팩,456490,KOSDAQ,100,4200000
교보15호스팩,465320,KOSDAQ,100,3810000
교보16호스팩,482520,KOSDAQ,100,6100000
교보17호스팩,489210,KOSDAQ,100,5180000
교보증권,030610,KOSPI,5000,113962961
교촌에프앤비,339770,KOSPI,500,49965080
구영테크,053270,KOSDAQ,500,27410405
국도화학,007690,KOSPI,5000,9260832
국보디자인,066620,KOSDAQ,500,7500000
국보,001140,KOSPI,500,15856388
국순당,043650,KOSDAQ,500,17858304
국영지앤엠,006050,KOSDAQ,500,34895243
국일신동,060480,KOSDAQ,500,11090000
국일제지,078130,KOSDAQ,100,1127405871
국전약품,307750,KOSDAQ,100,49966130
국제약품,002720,KOSPI,1000,21159832
그래디언트,035080,KOSDAQ,2500,13676598
GKL,114090,KOSPI,500,61855670
GRT,900290,KOSDAQ,무액면,80850000
그리드위즈,453450,KOSDAQ,200,7942750
그리티,204020,KOSDAQ,500,20147430
그린리소스,402490,KOSDAQ,500,8279444
그린생명과학,114450,KOSDAQ,500,20000000
그린케미칼,083420,KOSPI,500,24000000
그린플러스,186230,KOSDAQ,500,10920188
극동유화,014530,KOSPI,500,34869420
GST,083450,KOSDAQ,500,18430000
글로벌에스엠,900070,KOSDAQ,0.5,53743968
글로벌텍스프리,204620,KOSDAQ,500,70283330
글로본,019660,KOSDAQ,500,13944333
금강공업우,014285,KOSPI,1000,589875
금강공업,014280,KOSPI,1000,29329357
금강철강,053260,KOSDAQ,500,18720000
금비,008870,KOSPI,5000,1000000
금양그린파워,282720,KOSDAQ,500,12119500
금양,001570,KOSPI,500,63967196
금호건설우,002995,KOSPI,5000,292266
금호건설,002990,KOSPI,5000,36996760
금호석유화학우,011785,KOSPI,5000,3023486
금호석유화학,011780,KOSPI,5000,26459587
금호에이치티,214330,KOSPI,500,213914131
금호전기,001210,KOSPI,500,61553997
금호타이어,073240,KOSPI,5000,287260287
금화피에스시,036190,KOSDAQ,500,6000000
기가레인,049080,KOSDAQ,500,84883347
기가비스,420770,KOSDAQ,200,12675758
기산텔레콤,035460,KOSDAQ,500,14577340
기신정기,092440,KOSPI,500,29200000
기아,000270,KOSPI,5000,397672632
길교이앤씨,456700,KONEX,500,900000
까뮤이앤씨,013700,KOSPI,500,59750830
깨끗한나라우,004545,KOSPI,1000,366160
깨끗한나라,004540,KOSPI,1000,37240693
꿈비,407400,KOSDAQ,100,14395007
나노,187790,KOSDAQ,500,30840830
나노신소재,121600,KOSDAQ,500,12197878
나노실리칸첨단소재,286750,KOSDAQ,500,21513559
나노씨엠에스,247660,KOSDAQ,500,4343920
나노엔텍,039860,KOSDAQ,500,32110082
나노캠텍,091970,KOSDAQ,500,37417493
나노팀,417010,KOSDAQ,500,20161328
나눔테크,244880,KONEX,500,5020000
나라셀라,405920,KOSDAQ,5000,12878076
나라소프트,288490,KONEX,100,17471577
나라엠앤디,051490,KOSDAQ,500,14200000
나래나노텍,137080,KOSDAQ,500,11059422
나무가,190510,KOSDAQ,500,14684884
나무기술,242040,KOSDAQ,100,34606264
나우로보틱스,459510,KOSDAQ,500,12547732
나우IB,293580,KOSDAQ,500,94929950
나우코스,257990,KONEX,500,5891392
나이벡,138610,KOSDAQ,500,11032369
나이스디앤비,130580,KOSDAQ,500,15400000
나이스정보통신,036800,KOSDAQ,500,10000000
NICE평가정보,030190,KOSPI,500,59506593
나인테크,267320,KOSDAQ,100,53398327
