"date","open","high","low","close","volume"
2023-12-15,459500,467000,449000,452500,478586
2023-12-14,436500,450500,431000,448500,484805
2023-12-13,442000,443000,429000,429500,311146
2023-12-12,446500,449500,443000,445500,234611
2023-12-11,451000,457000,440500,446000,305967
2023-12-08,448000,457000,444500,450000,220251
2023-12-07,439000,447000,435500,443500,268573
2023-12-06,445000,445000,432500,433500,350012
2023-12-05,439500,447000,436500,444000,193240
2023-12-04,451000,456000,433500,439500,471966
2023-12-01,467500,467500,447000,447000,436363
2023-11-30,471000,473500,463500,472000,383120
2023-11-29,460500,474500,454000,471500,245968
2023-11-28,456500,459500,452500,455000,219732
2023-11-27,465000,466500,453000,453500,206628
2023-11-24,476000,479500,463000,463000,250887
2023-11-23,471500,481000,467000,475000,191498
2023-11-22,462500,474500,462500,471500,214222
2023-11-21,470000,474000,461000,466000,305803
2023-11-20,446000,465000,446000,460500,237729
2023-11-17,450000,452500,443000,444000,216245
2023-11-16,448500,461000,444500,455000,243428
2023-11-15,450000,452000,444000,448500,385615
2023-11-14,426500,441500,425500,435000,373809
2023-11-13,424000,430000,417000,417000,277544
2023-11-10,427000,429500,418000,420000,387751
2023-11-09,450000,454000,436500,439500,354047
2023-11-08,470500,474500,450000,450000,380310
2023-11-07,495000,495500,458000,466000,642838
2023-11-06,478000,522000,465500,506000,979940
2023-11-03,458000,465000,450500,454000,323288
2023-11-02,436500,454000,434500,451000,445802
2023-11-01,430000,443500,422500,425500,389358
2023-10-31,447000,447500,423500,425500,458098
2023-10-30,439000,459500,439000,452000,490326
2023-10-27,425500,454000,425000,452000,558062
2023-10-26,417500,435000,417500,423000,789835
2023-10-25,479000,479500,443000,445500,588982
2023-10-24,477000,481000,460000,480000,359957
2023-10-23,472000,483000,462500,474000,371565
2023-10-20,482500,486000,476500,480000,272354
2023-10-19,499000,502000,488500,494000,312509
2023-10-18,522000,526000,512000,512000,142190
2023-10-17,525000,539000,524000,524000,170188
2023-10-16,522000,528000,507000,514000,146018
2023-10-13,532000,536000,525000,526000,165552
2023-10-12,514000,539000,514000,535000,334093
2023-10-11,498000,514000,497500,511000,334945
2023-10-10,481500,505000,481500,490000,279139
2023-10-06,484000,491500,480500,481000,228092
2023-10-05,495000,502000,485500,489000,321504
2023-10-04,483500,494500,477500,484500,651037
