"date","open","high","low","close","volume"
2023-12-15,355000,372000,352500,360500,1195622
2023-12-14,335500,350000,331500,350000,1254122
2023-12-13,334500,338000,323000,325500,627600
2023-12-12,337000,347500,337000,341000,472465
2023-12-11,343000,348000,338500,340000,617633
2023-12-08,334500,346000,329500,343000,854376
2023-12-07,329500,338500,316500,334500,1144909
2023-12-06,323000,331000,318000,318500,692201
2023-12-05,339000,341000,323000,323000,1287666
2023-12-04,317000,350000,315500,348000,2308506
2023-12-01,319500,321500,309000,314000,715920
2023-11-30,320500,328000,317500,324500,889073
2023-11-29,312500,328500,305000,327500,1061690
2023-11-28,300000,310000,300000,304500,405263
2023-11-27,308000,308000,299500,300000,410302
2023-11-24,310500,322000,303500,303500,753792
2023-11-23,303500,307000,298500,306000,326827
2023-11-22,300000,313500,300000,303500,561263
2023-11-21,303000,306500,295500,303500,584121
2023-11-20,284500,305000,284000,300500,761493
2023-11-17,288000,293000,283000,286000,552165
2023-11-16,297000,303000,289000,293500,701953
2023-11-15,317500,320000,293000,297500,1120565
2023-11-14,281500,302000,279000,295500,1268064
2023-11-13,284500,289000,274000,274500,723014
2023-11-10,281500,284000,274000,277000,681972
2023-11-09,305500,308500,282000,291500,1327132
2023-11-08,307000,324500,296500,300000,1381755
2023-11-07,348500,361000,300000,311000,3072294
2023-11-06,320000,349500,307000,349500,3296384
2023-11-03,271500,272500,260000,269000,1352525
2023-11-02,242000,259500,240500,259500,1121030
2023-11-01,240500,246000,231500,233500,968352
2023-10-31,255000,255000,232500,236500,1219643
2023-10-30,247500,258500,247000,255500,703471
2023-10-27,251500,260000,247000,251500,1251301
2023-10-26,260000,267000,249000,249500,1729825
2023-10-25,306000,306000,274000,274000,1571091
2023-10-24,305500,312500,291500,305000,1001599
2023-10-23,298500,310500,296000,301500,675306
2023-10-20,310500,312000,298000,300000,963534
2023-10-19,322500,324500,316000,318000,545207
2023-10-18,339500,342500,331500,334000,403158
2023-10-17,342000,352000,340000,341000,479259
2023-10-16,335500,339500,329000,335000,604688
2023-10-13,350000,360000,344000,348000,524296
2023-10-12,343000,364000,339500,348000,969703
2023-10-11,323500,344500,320000,341000,703494
2023-10-10,336000,338500,313500,314500,610018
2023-10-06,330000,338500,327500,333000,314037
2023-10-05,343000,348000,332500,333000,535263
2023-10-04,352500,354500,335500,336000,689904
2023-09-27,363000,366000,349000,359500,865533
2023-09-26,369000,380500,366000,368000,461244
2023-09-25,392000,392000,369000,369000,744903
2023-09-22,390000,397500,385000,396000,415085
2023-09-21,407000,411500,396000,398000,367224
2023-09-20,399000,411500,397000,411000,332549
2023-09-19,412000,415000,396500,396500,434711
2023-09-18,408500,419500,404500,410500,437993
2023-09-15,403000,417000,398500,408500,579578
2023-09-14,389000,410000,388500,401500,645282
2023-09-13,390500,399000,385000,387000,531467
2023-09-12,410500,414500,394000,397000,642040
2023-09-11,419000,420500,403500,407500,479324
2023-09-08,411500,419500,408000,418000,505814
2023-09-07,431000,436500,411000,412500,837784
2023-09-06,452000,459500,435500,438000,427842
2023-09-05,441000,458000,435500,452000,533241
2023-09-04,422500,444500,422500,441000,496648
2023-09-01,449500,450000,431000,431000,574493
2023-08-31,453500,457000,444500,449500,495272
2023-08-30,463500,469000,452000,453500,548500
2023-08-29,476000,485000,454000,455000,934085
2023-08-28,473500,474000,462500,472000,614583
2023-08-25,455000,467000,449500,462500,836133
2023-08-24,428000,475000,418500,469000,1019024
2023-08-23,441000,441000,420500,422000,435993
2023-08-22,432500,445500,430500,438000,591169
2023-08-21,417500,438000,413500,426000,553545
2023-08-18,421000,429000,412000,417500,474838
2023-08-17,408500,425500,400000,424500,759125
2023-08-16,426000,429500,410000,410500,589660
2023-08-14,431000,440500,423000,434000,451086
2023-08-11,459000,459000,436000,440500,392552
2023-08-10,451000,454500,443000,452000,425129
2023-08-09,443000,465000,439000,456000,562778
2023-08-08,439000,449000,430500,447000,750901
2023-08-07,468000,472500,436000,439000,1062545
2023-08-04,492000,495000,478000,480500,485788
2023-08-03,489000,497500,472500,488500,862043
2023-08-02,490500,511000,484500,486000,901214
2023-08-01,536000,536000,500000,509000,1086541
2023-07-31,516000,541000,510000,527000,1119804
2023-07-28,473000,510000,464000,510000,1966674
2023-07-27,547000,561000,484000,486000,3100077
2023-07-26,600000,694000,523000,560000,6017346
2023-07-25,570000,603000,553000,598000,2764026
2023-07-24,510000,553000,503000,542000,3084576
2023-07-21,448000,496000,447500,490500,2088926
2023-07-20,462000,471500,450000,464500,1469031
2023-07-19,465500,483000,458000,480000,2084500
2023-07-18,411000,460000,409000,458000,2625426
2023-07-17,402000,413500,397500,404500,1015565
2023-07-14,391500,403000,389500,401000,833714
2023-07-13,390000,394000,386000,388500,759746
2023-07-12,398000,399500,385500,390000,1069505
2023-07-11,412500,414000,389000,396000,1224353
2023-07-10,408000,420000,401500,408000,1671564
2023-07-07,368500,400000,368000,398500,1134448
2023-07-06,383500,384500,372500,373500,533322
2023-07-05,375000,383000,373000,381000,535709
2023-07-04,369000,386500,368000,375000,865857
2023-07-03,357000,372000,356500,369000,741298
2023-06-30,350500,355500,344500,353000,454178
2023-06-29,351000,358500,347500,350000,449416
2023-06-28,368000,369500,349000,349500,678008
2023-06-27,373000,373500,359000,365000,630609
2023-06-26,373000,380000,372000,374000,378577
2023-06-23,380000,382500,373000,375000,330267
2023-06-22,370500,379000,369500,377000,513061
2023-06-21,377000,383000,373000,374000,528187
2023-06-20,382500,383000,372000,373500,621619
2023-06-19,382000,384500,372000,383000,623441
2023-06-16,376500,381500,365500,381500,760876
2023-06-15,379000,386000,365500,374000,1127585
2023-06-14,397000,399500,371000,373000,1513458
2023-06-13,392000,400000,383000,393000,935664
2023-06-12,389500,395500,388000,388500,699464
2023-06-09,392000,395000,385500,386500,712658
2023-06-08,381500,396500,380000,385000,1019956
2023-06-07,384500,387500,376000,385000,912506
2023-06-05,380500,395000,377000,380000,1210855
2023-06-02,361500,381500,358500,374000,1467089
2023-06-01,351500,359500,347500,359500,858584
2023-05-31,343000,350000,338500,350000,1343943
2023-05-30,331500,342000,329000,341500,990729
2023-05-26,326000,330500,321000,324000,479135
2023-05-25,329500,336000,326000,327000,582103
2023-05-24,334000,341000,331500,333500,677195
2023-05-23,328000,349000,327500,333500,1317423
2023-05-22,309000,323500,305500,323500,653853
2023-05-19,320500,320500,306000,311000,648150
2023-05-18,316500,324000,313500,318000,785132
2023-05-17,306000,314500,305000,312000,521697
2023-05-16,307500,310000,300500,310000,856091
2023-05-15,297500,303500,292000,303500,882119
2023-05-12,299500,305500,299000,300500,768616
2023-05-11,309500,312500,299000,301500,879067
2023-05-10,313000,317500,303500,306000,964708
2023-05-09,316500,325000,308500,317000,1347051
2023-05-08,344500,344500,320500,321500,1331129
2023-05-04,345000,352000,331000,338500,1103655
2023-05-03,352500,356500,342000,345000,962330
2023-05-02,339500,363000,338500,352500,1870147
2023-04-28,350000,350500,329000,335000,1703251
2023-04-27,337500,342500,327000,340000,2112567
2023-04-26,346000,355000,329500,332500,2715629
2023-04-25,368500,372000,333000,347500,2014275
2023-04-24,372500,381500,358000,363500,1678511
2023-04-21,400500,408000,378000,379500,1774149
2023-04-20,403000,418000,401000,408000,1301336
2023-04-19,384500,422500,382000,414000,2781634
2023-04-18,402500,408000,376500,382000,2627561
2023-04-17,349000,384500,345500,384500,2642940
2023-04-14,310500,347000,307500,342500,2772676
2023-04-13,295000,303000,284000,303000,1140685
2023-04-12,311500,322000,303000,303500,1271381
2023-04-11,306000,318000,299500,310000,1305019
2023-04-10,297500,312500,297500,305000,1742709
2023-04-07,293000,297000,287500,296000,839635
2023-04-06,287000,294500,286500,292500,713556
2023-04-05,286000,293000,280000,291500,816783
2023-04-04,289000,299500,281500,283000,1459277
2023-04-03,279000,293000,275000,288500,1638721
2023-03-31,258000,280500,255000,272500,1884239
2023-03-30,267500,268000,258500,261500,916414
2023-03-29,265500,269500,263000,266000,808472
2023-03-28,267000,267500,256000,265500,858516
2023-03-27,266500,278000,264500,265500,1621550
2023-03-24,264000,264500,249500,261000,1171985
2023-03-23,252000,268500,251500,260500,1818640
2023-03-22,254500,259000,252000,255000,839693
2023-03-21,249500,263000,247000,249500,1108137
2023-03-20,247000,253500,245000,247000,804952
2023-03-17,268000,271000,252000,252500,1537882
2023-03-16,246500,275000,245000,269500,3694830
2023-03-15,243500,246500,238500,241000,859189
2023-03-14,247500,250000,236500,239000,928782
2023-03-13,243500,249000,241500,248500,897218
2023-03-10,243500,253500,243000,247000,886021
2023-03-09,260500,260500,240000,252000,2218431
2023-03-08,259000,265000,255000,263000,1727568
2023-03-07,231500,270000,231000,260500,4383029
2023-03-06,235500,238000,229000,234500,1425840
2023-03-03,219500,231500,218500,229000,1557911
2023-03-02,222500,224500,218000,218000,1054462
2023-02-28,222000,227000,219500,221000,1059126
2023-02-27,213000,221500,212000,220000,727979
