"date","open","high","low","close","volume"
"2023-08-18",319500,327500,305500,312000,1023213
"2023-08-17",303000,320000,298500,318000,1546048
"2023-08-16",312000,318000,301500,303500,1057135
"2023-08-14",316500,325500,307000,318000,932824
"2023-08-11",341000,341500,320000,323500,1043452
"2023-08-10",340000,346500,333000,337500,912235
"2023-08-09",337000,353500,335500,343500,1073489
"2023-08-08",340000,344500,327000,339000,1550330
"2023-08-07",369500,372500,338500,340000,2047494
"2023-08-04",393500,396000,379000,380500,973480
"2023-08-03",387500,395000,372000,390000,1530821
"2023-08-02",396000,412500,380500,380500,1838944
"2023-08-01",425500,448500,394000,408500,3357955
"2023-07-31",414000,439000,409000,419000,2250798
"2023-07-28",367000,409000,360000,407500,4579184
"2023-07-27",445000,451000,368000,376500,6651740
"2023-07-26",483000,584000,428500,455000,11089701
"2023-07-25",408500,485000,391500,462000,5442923
"2023-07-24",385000,414000,384500,404500,4135995
"2023-07-21",348500,389500,347500,381500,4012520
"2023-07-20",347000,366000,338000,362500,3226383
"2023-07-19",330000,361000,328000,361000,5892304
"2023-07-18",282500,326500,279500,326000,5966121
"2023-07-17",281500,283000,275500,279000,996912
"2023-07-14",281500,284500,277000,281500,935951
"2023-07-13",276000,284500,270500,281500,1406043
"2023-07-12",295000,296000,276000,279000,2197894
"2023-07-11",291500,298000,285500,295000,1752416
"2023-07-10",283500,295500,277500,285000,2544029
"2023-07-07",272500,280000,271500,280000,1036721
"2023-07-06",283000,284000,273500,275000,1370915
"2023-07-05",277000,283500,275500,281500,1595113
"2023-07-04",271000,297500,266000,274500,4655997
"2023-07-03",254000,270000,250500,263500,1749721
"2023-06-30",242000,252000,238000,249000,644888
"2023-06-29",243000,247500,238500,241000,686811
"2023-06-28",255500,258000,242000,243000,909749
"2023-06-27",261000,261000,248000,254500,772954
"2023-06-26",263500,266000,261000,261500,362609
"2023-06-23",267000,269000,262500,263000,436861
"2023-06-22",258000,266500,256000,265000,531586
"2023-06-21",263500,271500,260000,261500,701772
"2023-06-20",263000,272500,260500,262000,680495
"2023-06-19",266500,270000,263000,267000,837631
"2023-06-16",259000,266000,253000,266000,1144214
"2023-06-15",258000,266000,254000,258500,1416683
"2023-06-14",284000,287500,254000,254000,2308685
"2023-06-13",271500,285000,266000,283000,1659227
"2023-06-12",268000,270500,265500,268500,729029
"2023-06-09",274500,275500,265500,267000,898687
"2023-06-08",270000,274000,263500,267500,1150058
"2023-06-07",258000,271000,257000,270000,1226036
"2023-06-05",258000,259000,252500,257500,626160
"2023-06-02",249500,257000,248000,255000,746706
"2023-06-01",249500,252000,244500,249500,667845
"2023-05-31",239500,250000,239000,249000,1082099
"2023-05-30",240000,241500,230000,239000,793334
"2023-05-26",245500,246500,235000,238000,667433
"2023-05-25",242500,249500,240500,243500,565982
"2023-05-24",248500,250500,243500,246000,903966
"2023-05-23",239500,246500,236500,243500,935974
"2023-05-22",225500,236500,221000,236500,762129
"2023-05-19",232000,232500,223000,226500,662072
"2023-05-18",236500,236500,229000,231500,762522
"2023-05-17",225000,233000,223000,232000,686613
"2023-05-16",225000,231500,221500,229000,1141807
"2023-05-15",226000,227000,212500,223500,1751134
"2023-05-12",218500,233000,217500,227500,1566785
"2023-05-11",235000,239000,216000,222000,1939354
"2023-05-10",238000,241000,229000,231500,1108230
"2023-05-09",239000,243500,227500,237000,1983567
"2023-05-08",252000,253000,241500,242000,1072455
"2023-05-04",246000,254000,244000,250000,1110726
"2023-05-03",262500,263000,247500,249500,1559531
"2023-05-02",268500,276500,259500,267000,1515819
"2023-04-28",281000,282500,261000,267000,2651234
"2023-04-27",241500,271000,238500,269500,2973374
"2023-04-26",252500,255500,242500,242500,2117088
"2023-04-25",274500,275500,248500,253500,2949117
"2023-04-24",264000,280000,264000,271000,1686722
"2023-04-21",294000,297500,272500,272500,2095094
"2023-04-20",289000,300500,289000,294000,1359064
"2023-04-19",294000,304500,290000,294000,1774759
"2023-04-18",297000,3e+05,286500,296000,2416820
"2023-04-17",278500,295000,274500,294000,2601181
"2023-04-14",276500,282000,266000,277500,2308384
"2023-04-13",261500,278000,250000,268500,4702433
"2023-04-12",290000,304000,276000,276000,4427300
"2023-04-11",302000,308500,282000,294500,4639599
"2023-04-10",258000,315500,257500,292500,9194122
"2023-04-07",251500,261500,245000,257500,3446298
"2023-04-06",233000,247500,230000,247500,2352283
"2023-04-05",224500,237000,220000,235000,2132786
"2023-04-04",232000,238500,221500,224500,1915939
"2023-04-03",231000,236500,222000,232000,2608823
"2023-03-31",218500,225000,216000,224500,1796010
"2023-03-30",235500,239000,223000,226500,2578123
"2023-03-29",222500,235500,219000,233000,3256078
"2023-03-28",227500,229500,213000,224000,2762048
"2023-03-27",233000,238500,223500,226000,2796705
"2023-03-24",245000,245500,225000,233000,4120060
"2023-03-23",212500,262500,210000,235000,9261725
"2023-03-22",209500,215500,204000,213500,2700971
"2023-03-21",204000,208500,197300,204500,2193086
"2023-03-20",184600,204500,181400,204000,3452514
"2023-03-17",217000,218000,199200,2e+05,3388296
"2023-03-16",223500,229500,211000,216000,4006835
"2023-03-15",206500,214000,200500,214000,4072893
"2023-03-14",210000,211500,193300,196500,3476619
"2023-03-13",190400,205500,190300,203000,3398373
"2023-03-10",196100,203000,193100,193600,2456200
"2023-03-09",215000,215500,197100,205000,2913212
"2023-03-08",199400,215500,199400,209000,3677052
"2023-03-07",208000,216500,201500,205500,4372985
"2023-03-06",199800,217000,192500,217000,8059503
"2023-03-03",161600,182600,161400,182100,5116799
"2023-03-02",166600,171200,158100,159700,3110187
"2023-02-28",168200,169300,163000,166300,2648559
"2023-02-27",158000,169500,156700,166800,3737868
"2023-02-24",155200,161100,155200,159300,2302622
"2023-02-23",163000,164200,150600,155200,3029756
"2023-02-22",159100,168000,153000,160500,4546902
"2023-02-21",147300,161700,144900,160800,4616237
"2023-02-20",147100,149300,142600,147300,2058218
"2023-02-17",144000,149100,140500,146800,2554317
"2023-02-16",145500,149000,140800,147500,2350333
"2023-02-15",142500,149000,139500,141100,3489156
"2023-02-14",141900,142300,134300,140500,2241781
"2023-02-13",132600,142500,130400,139000,3447025
"2023-02-10",135400,139700,128700,132700,2873415
"2023-02-09",121600,131400,120700,130700,3910409
"2023-02-08",123600,124600,119700,122000,1571643
"2023-02-07",119500,126300,118800,121800,2357801
"2023-02-06",113600,120400,113100,118700,2397142
"2023-02-03",113600,116200,112000,114100,1513973
"2023-02-02",110400,114400,110400,114000,1879935
"2023-02-01",101000,109600,100800,109200,2337574
"2023-01-31",100500,101300,99000,99800,1324971
"2023-01-30",105000,106200,102400,103400,663096
"2023-01-27",107200,107300,103900,104300,748283
"2023-01-26",102700,105500,101400,105400,1161366
"2023-01-25",100600,101800,100400,101700,572531
"2023-01-20",97500,99500,97100,99400,381727
"2023-01-19",98800,99000,97000,97500,399268
"2023-01-18",99800,100500,98100,98900,352302
"2023-01-17",100100,101000,98800,99400,424922
"2023-01-16",1e+05,101000,99900,100300,365996
"2023-01-13",100900,100900,99500,99800,361081
"2023-01-12",101000,101200,99100,100200,449188
"2023-01-11",97800,99900,97300,99900,485214
"2023-01-10",98700,99800,96500,96500,534966
"2023-01-09",96000,97500,95000,97500,475897
"2023-01-06",92000,94700,91100,94700,447567
"2023-01-05",95100,96200,92500,92700,441784
"2023-01-04",91000,94400,90100,94300,463744
"2023-01-03",93400,94300,91600,93200,470258
"2023-01-02",93100,96200,93100,93400,710596
"2022-12-29",92000,93300,90900,92100,543767
"2022-12-28",97000,97800,91500,92200,1388923
"2022-12-27",97600,99200,96900,97900,887137
"2022-12-26",96600,98000,95900,97300,570527
"2022-12-23",98900,99700,96400,97000,800150
"2022-12-22",100700,101800,99900,101200,396889
"2022-12-21",100200,101300,99300,99800,452332
"2022-12-20",100200,101500,99300,99700,427319
"2022-12-19",100100,101800,99500,100200,378458
"2022-12-16",100100,102100,99800,101000,451806
"2022-12-15",103000,105500,101700,102000,474988
"2022-12-14",102200,105000,101400,104500,596056
"2022-12-13",100900,102300,1e+05,102300,529918
"2022-12-12",99500,101700,98900,101400,617474
"2022-12-09",104500,105000,99100,101000,1493777
"2022-12-08",104700,105600,103300,103500,604990
"2022-12-07",103100,106000,103100,105000,596945
"2022-12-06",105000,105900,103700,104400,787926
"2022-12-05",110000,110900,106000,106700,878090
"2022-12-02",115300,115400,109500,109900,1426106
"2022-12-01",116100,117000,114600,115100,1069289
"2022-11-30",109700,113800,107500,113800,1085218
"2022-11-29",109000,111000,108300,110500,469756
"2022-11-28",113300,113300,108900,109500,790658
"2022-11-25",109500,114900,108500,113400,1504283
"2022-11-24",107200,108800,106700,108800,633634
"2022-11-23",103600,105400,103100,105300,588936
"2022-11-22",105100,106100,102300,102500,735515
"2022-11-21",109300,109300,104800,105400,1107684
"2022-11-18",110800,111600,109000,109300,622197
"2022-11-17",112500,112500,109700,110800,575393
"2022-11-16",116800,116800,111100,112500,1381227
"2022-11-15",117400,118800,115000,116600,1164795
"2022-11-14",112000,117000,111800,115700,2325025
"2022-11-11",111700,112900,109000,110600,1752384
"2022-11-10",107100,109700,106800,106900,899600
"2022-11-09",109400,109800,107500,109100,737451
"2022-11-08",108900,109500,104600,108800,971591
"2022-11-07",110100,110200,107300,108700,827471
"2022-11-04",111000,112700,108700,110000,816114
"2022-11-03",106800,111900,106700,111600,1001247
"2022-11-02",115200,115900,108100,109700,1796121
"2022-11-01",116400,117900,114500,115500,933663
"2022-10-31",116700,117000,113200,115100,961283
"2022-10-28",109900,115300,108900,114400,1843591
"2022-10-27",104600,110900,103500,110900,2173083
"2022-10-26",104300,105400,103200,103300,615216
"2022-10-25",107300,108900,102300,103500,1193901
"2022-10-24",107900,108300,105800,107000,1019201
"2022-10-21",103700,109200,103100,106400,2228353
"2022-10-20",105200,105200,100800,102000,1381990
"2022-10-19",105300,109300,104900,106200,1947701
"2022-10-18",110600,112400,102500,104800,2818643
"2022-10-17",103800,109200,103600,109100,1346295
"2022-10-14",106300,106900,104200,104800,971419
"2022-10-13",99800,104800,99600,104700,1234173
"2022-10-12",99600,101200,98400,99500,866789
"2022-10-11",95000,99100,95000,98400,821592
"2022-10-07",95100,99100,94100,97000,732747
"2022-10-06",92500,96800,92500,96700,935919
"2022-10-05",95500,95600,91300,91400,721098
"2022-10-04",89600,92600,88700,92400,778671
"2022-09-30",89000,91600,86900,88100,998231
"2022-09-29",95200,95400,90800,90800,864850
"2022-09-28",94500,97600,91900,92100,1060251
"2022-09-27",92300,95600,90100,95100,1161641
"2022-09-26",98000,99700,92300,92300,1585907
"2022-09-23",107900,107900,100100,101100,1600551
"2022-09-22",102900,108600,102600,107900,1131140
"2022-09-21",101400,105000,101000,104000,918979
"2022-09-20",101600,105000,101200,102000,971771
"2022-09-19",99800,102300,99500,1e+05,1062995
"2022-09-16",102200,103500,99500,99700,1512218
"2022-09-15",107100,107400,103200,103600,1396055
"2022-09-14",104900,109100,102500,107000,2213602
"2022-09-13",110400,111300,107200,108400,1038789
"2022-09-08",106500,108500,105200,108000,924757
"2022-09-07",103800,106300,101200,104300,829732
"2022-09-06",102900,106400,102900,103800,590916
"2022-09-05",103200,105700,102500,102900,989839
"2022-09-02",107400,108400,106000,106100,456087
"2022-09-01",110200,110700,106600,106600,961890
"2022-08-31",110900,112200,108800,112200,925974
"2022-08-30",111700,114200,111700,112100,502527
"2022-08-29",109500,113600,109500,111900,643984
"2022-08-26",117300,117800,113800,114200,538908
"2022-08-25",115500,116900,113700,116400,575412
"2022-08-24",114400,116400,111600,115300,899069
"2022-08-23",112200,112600,110600,111500,609277
"2022-08-22",112000,115600,111900,113000,694416
"2022-08-19",118200,118500,113500,114000,994546
"2022-08-18",118100,119800,117400,117700,717126
"2022-08-17",117800,119600,116800,119200,729290
"2022-08-16",119400,119600,117400,118100,784273
"2022-08-12",120700,121000,116500,118500,998978
"2022-08-11",125200,125200,119100,121400,1394924
"2022-08-10",122000,124700,121500,122400,716593
"2022-08-09",122600,123900,121200,123300,926430
"2022-08-08",121800,124300,121000,121600,1181132
"2022-08-05",129500,131500,121400,124000,2022989
"2022-08-04",129500,133500,127300,128000,1554544
"2022-08-03",124800,128500,124800,127500,1000161
"2022-08-02",128000,128000,124200,125500,823652
"2022-08-01",119400,127900,118700,127700,1734729
"2022-07-29",120000,120700,118500,119400,610438
"2022-07-28",119100,119900,116500,118900,818259
"2022-07-27",115900,117500,115100,117200,505338
"2022-07-26",117500,118400,113200,117300,783952
"2022-07-25",117700,120500,116800,118100,644565
"2022-07-22",117100,119900,116100,117600,1634500
"2022-07-21",111100,115400,110200,115000,1686917
"2022-07-20",113800,114200,109700,109900,1383052
"2022-07-19",110000,112000,108500,110600,1214631
"2022-07-18",112300,113600,107700,109800,1395732
"2022-07-15",115700,117700,110100,111500,1792794
"2022-07-14",127200,127300,114200,117000,1906215
"2022-07-13",108000,120000,108000,120000,1074732
"2022-07-12",113000,114100,110500,110900,292517
"2022-07-11",119600,120200,114200,114600,293996
"2022-07-08",120000,121400,118400,118900,371124
"2022-07-07",116400,119200,115700,116400,343429
"2022-07-06",120700,122500,115000,115000,499510
"2022-07-05",111900,121700,110400,120400,820535
"2022-07-04",110400,112900,106900,111800,648837
"2022-07-01",112900,114600,108000,108600,695589
"2022-06-30",120600,122600,112000,113500,924611
"2022-06-29",125400,125600,120800,121400,787677
"2022-06-28",133900,136600,126100,127900,1339086
"2022-06-27",135000,156600,131700,135900,3082174
"2022-06-24",96200,99800,94240,99480,422162
"2022-06-23",102820,104360,94200,94240,533021
"2022-06-22",106080,107900,104300,104400,257292
"2022-06-21",104260,105060,1e+05,104600,234212
"2022-06-20",105420,107440,102160,103780,289931
"2022-06-17",103000,105560,102980,103940,215632
"2022-06-16",104640,106420,103200,104400,247332
"2022-06-15",108000,111380,102040,102440,534703
"2022-06-14",100720,107720,100680,107180,325795
"2022-06-13",100380,103900,100200,102300,252347
"2022-06-10",99600,102400,98140,102380,213810
"2022-06-09",97200,100580,96580,100560,202756
"2022-06-08",96800,98000,96080,97100,109504
"2022-06-07",98620,99180,95740,96220,155274
"2022-06-03",101860,101880,98820,99160,132482
"2022-06-02",100140,101020,99220,100640,100321
"2022-05-31",99060,101000,98060,101000,244181
"2022-05-30",95660,97940,93820,97840,162464
"2022-05-27",94960,95120,93400,93420,94651
"2022-05-26",95520,96040,92620,93160,135879
"2022-05-25",96200,96960,93200,95000,181877
"2022-05-24",99000,99500,95700,95700,174928
"2022-05-23",99960,100900,97700,99280,199700
"2022-05-20",95340,98940,95340,98680,275928
"2022-05-19",92340,98300,92240,94960,307229
"2022-05-18",96420,98280,95180,95180,200337
"2022-05-17",90220,94000,90020,93900,152751
"2022-05-16",92200,92560,89900,89900,156218
"2022-05-13",89400,90840,85600,89900,350738
"2022-05-12",93600,93620,89220,89220,311372
"2022-05-11",95320,95880,93720,95280,159363
"2022-05-10",93600,95920,92280,95380,304845
"2022-05-09",95760,97760,95180,96200,188668
"2022-05-06",103540,106540,99280,99700,496425
"2022-05-04",104400,106420,102880,104020,350747
"2022-05-03",99220,102480,99200,102200,337130
"2022-05-02",94560,98260,94180,98000,265195
"2022-04-29",90800,95960,89500,95280,283638
"2022-04-28",90700,91400,88880,90300,124902
"2022-04-27",86200,90140,85500,89960,219297
"2022-04-26",91200,93400,89840,90140,159281
"2022-04-25",93600,94740,91020,91040,235814
"2022-04-22",94340,95560,93600,94740,129592
"2022-04-21",95760,97380,94820,94900,178364
"2022-04-20",96600,97000,94700,95020,159729
"2022-04-19",94760,96580,94400,96000,213743
"2022-04-18",92480,93940,91200,93400,213754
"2022-04-15",90340,92340,88860,91700,147984
"2022-04-14",94080,94500,91600,91760,290423
"2022-04-13",89880,93700,89700,92880,313531
"2022-04-12",89260,90380,87460,88680,344926
"2022-04-11",94360,95820,91400,91400,405608
"2022-04-08",86060,98420,86040,93700,1015882
"2022-04-07",88740,90040,83880,86020,879165
"2022-04-06",81020,84760,80600,84760,324409
"2022-04-05",78980,82980,78580,82980,388417
"2022-04-04",77980,78440,76800,77740,125124
"2022-04-01",79000,79600,78020,78060,160946
"2022-03-31",77000,80000,76620,79540,250890
"2022-03-30",77840,78780,77200,77700,152984
"2022-03-29",77580,78220,76420,76700,239141
"2022-03-28",76980,77000,74460,74900,174639
"2022-03-25",77300,78240,76700,77020,203896
"2022-03-24",77220,77220,74900,76500,258961
"2022-03-23",74880,78900,74400,78240,376292
"2022-03-22",72860,72960,71280,72480,101540
"2022-03-21",74040,74920,72520,72540,162669
"2022-03-18",72380,73180,71640,72500,167708
"2022-03-17",71760,73280,70000,71660,314942
"2022-03-16",67160,68880,66640,67880,230266
"2022-03-15",62840,65720,62840,65300,223200
"2022-03-14",66920,66980,62880,64480,441917
"2022-03-11",71880,71940,68000,68380,266814
"2022-03-10",71740,74000,70660,71860,334656
"2022-03-08",74080,74420,69660,69660,432112
"2022-03-07",75000,77540,75000,76280,161865
"2022-03-04",78000,79340,77180,77360,171805
"2022-03-03",80700,80860,78200,78500,224631
"2022-03-02",74420,79940,74360,78700,357264
"2022-02-28",71000,76000,70840,75040,371313
"2022-02-25",67360,72000,66760,72000,470852
"2022-02-24",68260,68400,65120,65120,273373
"2022-02-23",69760,71000,68260,69100,168727
"2022-02-22",67400,70060,67320,69560,205974
"2022-02-21",67960,69100,66560,68720,152452
"2022-02-18",68960,70520,68220,69560,214202
"2022-02-17",69120,72660,67800,70080,510209
"2022-02-16",68600,69620,67300,68520,301537
"2022-02-15",66520,68560,64740,66200,310099
"2022-02-14",65320,67900,64040,66080,350961
"2022-02-11",62440,68960,61820,66600,615165
"2022-02-10",67000,67200,63620,63800,262980
"2022-02-09",65480,67260,64740,66460,342044
"2022-02-08",64700,68500,63800,64460,536617
"2022-02-07",65460,66140,60600,65120,746818
"2022-02-04",67800,69440,67000,67880,224909
"2022-02-03",68360,70400,66020,67800,538462
"2022-01-28",64000,67500,58720,65660,829877
"2022-01-27",62960,69320,62520,65220,1880477
"2022-01-26",81500,82500,65700,65700,1140642
"2022-01-25",80120,83240,79720,81260,399637
"2022-01-24",81400,84380,78400,80080,730341
"2022-01-21",90500,90500,86600,86760,287613
