"date","open","high","low","close","volume"
2023-12-15,47300,47750,47300,47750,391889
2023-12-14,47850,47950,47100,47250,413459
2023-12-13,47500,48100,47200,47300,328848
2023-12-12,46950,47650,46650,47300,683669
2023-12-11,47600,48200,47050,47450,345045
2023-12-08,47250,47450,46750,47050,210441
2023-12-07,48100,48250,46800,46850,311699
2023-12-06,46950,48000,46950,47950,369311
2023-12-05,47700,48200,46800,46950,408142
2023-12-04,48200,48750,47800,48050,483264
2023-12-01,46500,48500,46400,47900,1212844
2023-11-30,46300,46650,45900,46350,560233
2023-11-29,46250,46700,45850,46350,281680
2023-11-28,46600,46600,46200,46400,250609
2023-11-27,46900,46950,46050,46350,278356
2023-11-24,47050,47050,46400,46650,214632
2023-11-23,46900,47000,46600,47000,259621
2023-11-22,46100,47000,46100,46750,328256
2023-11-21,46350,46600,46000,46050,249373
2023-11-20,46150,46450,45800,46300,232174
2023-11-17,46100,46300,45750,46000,303428
2023-11-16,46700,46950,45800,46100,324852
2023-11-15,46850,46950,46250,46700,360458
2023-11-14,45800,46350,45750,46350,352815
2023-11-13,46350,46650,45550,45600,328218
2023-11-10,46350,46600,46000,46300,373760
2023-11-09,46600,46750,45550,46550,574724
2023-11-08,49150,49350,46100,46550,1285410
2023-11-07,48950,49450,48550,49450,543069
2023-11-06,49900,49950,48050,49050,623754
2023-11-03,46900,48450,46900,48300,481187
2023-11-02,45750,48100,45750,46900,789479
2023-11-01,44750,45850,44050,45700,788501
2023-10-31,49200,49450,43600,44200,1364686
2023-10-30,47700,49650,47450,49400,485299
2023-10-27,48450,48450,47250,47550,479452
2023-10-26,48750,49300,48000,48050,489191
2023-10-25,48300,49300,47950,48950,567158
2023-10-24,49700,49700,47700,48250,444479
2023-10-23,47500,49600,47450,49500,450650
2023-10-20,48450,49200,47700,47750,421119
2023-10-19,50100,50300,48900,49000,458042
2023-10-18,50900,51400,50300,50600,316131
2023-10-17,51000,51700,50500,50900,411375
2023-10-16,52000,53000,50300,50900,1121510
2023-10-13,50200,52000,49850,51400,574848
2023-10-12,51000,51100,49900,50600,352537
2023-10-11,49650,51100,48950,50600,622576
2023-10-10,49900,50800,49150,49850,1022317
2023-10-06,47650,48150,47400,47900,270726
2023-10-05,47300,48350,47300,47650,320167
2023-10-04,48750,48800,46900,47200,685460
2023-09-27,47400,49000,46800,48800,460306
2023-09-26,48250,49350,48200,48600,415525
2023-09-25,48950,49650,48250,48500,387971
2023-09-22,49000,49550,48500,49200,407740
2023-09-21,48850,50500,48850,49500,740105
2023-09-20,49200,49350,48100,48750,356674
2023-09-19,49900,50000,49100,49200,293978
2023-09-18,50300,51000,49850,49900,224229
2023-09-15,50600,51300,50400,50600,568843
2023-09-14,49600,50200,49150,50200,389147
2023-09-13,49250,49800,49000,49200,271838
2023-09-12,50900,51300,49200,49300,397509
2023-09-11,50500,51200,49950,50700,334881
2023-09-08,49850,50800,49750,50300,270270
2023-09-07,50700,51400,49700,49750,391570
2023-09-06,49500,51200,49200,51100,553218
