"date","open","high","low","close","volume"
2024-01-12,26600,27150,26300,26600,816687
2024-01-11,27200,27400,26500,26550,990635
2024-01-10,26650,27350,26650,27200,950564
2024-01-09,26800,26950,26500,26550,503248
2024-01-08,27550,27650,26700,26700,717906
2024-01-05,27200,28250,27100,27300,1597423
2024-01-04,27550,28050,27000,27000,1002503
2024-01-03,26550,27750,26400,27500,1205532
2024-01-02,26850,27100,26650,26750,694034
2023-12-28,26100,26700,26000,26600,574905
2023-12-27,25750,26150,25650,26100,662051
2023-12-26,26400,26500,25700,25700,892155
2023-12-22,26700,26800,26400,26400,503678
2023-12-21,26600,26700,26200,26500,552822
2023-12-20,26800,26950,26600,26750,558590
2023-12-19,26550,26700,26100,26650,402924
2023-12-18,26550,26650,26350,26550,481623
2023-12-15,26200,26700,26200,26350,778126
2023-12-14,26350,26500,25950,26050,994364
2023-12-13,26850,27100,25800,25850,1698671
2023-12-12,27200,27550,26550,26850,2662010
2023-12-11,28800,29200,27650,28050,1586443
2023-12-08,29050,29050,28050,28550,1182571
2023-12-07,29550,29900,28900,29050,973698
2023-12-06,28950,29950,28800,29750,1733318
2023-12-05,29000,29900,28600,28750,2159689
2023-12-04,28050,29400,27800,29100,3343280
2023-12-01,26600,28450,26450,28050,4417839
2023-11-30,26550,26750,26350,26550,938548
2023-11-29,25900,26550,25600,26350,1208111
2023-11-28,25750,25900,25650,25800,625317
2023-11-27,25900,26100,25700,25700,660259
2023-11-24,26200,26200,25700,25800,937148
2023-11-23,27150,27550,26300,26400,2858774
2023-11-22,25750,26150,25650,25900,814942
2023-11-21,26050,26150,25750,25750,512177
2023-11-20,25550,26100,25350,25900,535320
2023-11-17,25850,25900,25450,25550,437741
2023-11-16,26000,26000,25400,25900,624338
2023-11-15,26050,26100,25800,25900,682314
2023-11-14,25350,25800,25200,25800,426534
2023-11-13,26000,26200,25100,25150,796611
2023-11-10,25050,25550,24900,25300,642555
2023-11-09,25600,25850,25150,25400,561571
2023-11-08,26450,26500,25750,25750,637968
2023-11-07,26300,26800,25800,26250,1185898
2023-11-06,25400,26100,25050,26100,1386669
2023-11-03,24400,24650,24250,24550,607106
2023-11-02,24300,24550,24050,24150,715813
2023-11-01,23500,24200,23350,24000,949650
2023-10-31,24300,24500,23050,23250,1342098
2023-10-30,23550,24400,23550,24400,933803
2023-10-27,24500,24700,23700,23750,1415751
2023-10-26,25050,25750,24550,24550,1388100
2023-10-25,25850,26250,25500,25850,1050422
2023-10-24,26250,26350,24900,25750,1026061
2023-10-23,25850,26350,25400,26200,1089681
2023-10-20,25750,26150,25500,25650,957050
2023-10-19,27200,27200,26200,26200,1392936
2023-10-18,27650,28050,27300,27550,792181
2023-10-17,27500,28350,27250,27650,1318685
2023-10-16,27850,28650,27150,27300,1216067
2023-10-13,28250,28350,27600,28150,1135370
2023-10-12,28500,28750,28100,28500,1018152
2023-10-11,28200,28650,27500,28450,1623169
2023-10-10,28650,29350,27900,28200,3290133
2023-10-06,26800,27350,26800,27250,458925
2023-10-05,26700,27650,26400,27000,1004566
2023-10-04,27550,27600,26550,26600,1163349
2023-09-27,27000,27850,27000,27750,624615
2023-09-26,27500,28000,27250,27250,832475
2023-09-25,27900,28300,27600,27650,820414
2023-09-22,28700,28800,28100,28200,1263249
2023-09-21,29450,30100,29150,29150,886450
2023-09-20,29600,29900,29250,29700,647631
2023-09-19,30100,30150,29450,29550,537980
2023-09-18,30200,30550,29900,29900,723281
2023-09-15,29750,30150,29650,29950,842204
2023-09-14,29200,29800,29200,29800,640621
2023-09-13,29550,29850,29050,29100,1079959
2023-09-12,31200,31300,29700,29700,1758385
2023-09-11,30750,31550,30200,31100,1633691
2023-09-08,30650,31300,30550,30700,979897
2023-09-07,31850,32000,30400,30500,1817887
2023-09-06,30600,32500,30550,31600,3700058
2023-09-05,31100,31200,30350,30800,838675
2023-09-04,30650,31300,30650,30900,917503
2023-09-01,30950,31400,30450,30500,1163990
2023-08-31,30900,31050,30500,30750,797803
2023-08-30,30800,30900,30350,30700,962138
2023-08-29,30400,31100,30150,30500,1668742
2023-08-28,29400,30000,29300,29950,769952
2023-08-25,29050,29600,29000,29150,502856
2023-08-24,29900,30100,29250,29400,858389
2023-08-23,29450,29950,29400,29700,941946
2023-08-22,29250,29500,28700,29200,877996
2023-08-21,28750,29400,28750,29200,860436
2023-08-18,28450,29000,28200,28700,1064732
2023-08-17,29650,30050,28550,28800,1536987
2023-08-16,29050,30250,29000,29600,1828355
2023-08-14,30250,30300,29500,29600,1237622
2023-08-11,29050,30400,28950,30250,2104924
2023-08-10,29700,29800,28800,28950,1826982
2023-08-09,29500,29850,29200,29750,970231
2023-08-08,29950,30000,29300,29650,1443725
2023-08-07,30350,30650,29350,30000,1378488
2023-08-04,30200,30650,30050,30200,997421
2023-08-03,31200,31250,30050,30350,2037045
2023-08-02,31400,32550,30800,31350,2657087
2023-08-01,31350,31650,30750,31350,1409578
2023-07-31,30650,31800,30600,31350,1901251
2023-07-28,30850,31200,30200,30600,1694042
2023-07-27,31100,33500,30250,30400,5462806
2023-07-26,32900,33400,30050,30600,5234017
2023-07-25,31750,33250,31200,32550,3290254
2023-07-24,32150,32500,31600,31800,2051967
2023-07-21,32650,32700,31800,31900,1825074
2023-07-20,32500,33150,32300,32650,2231821
2023-07-19,33150,33450,32150,32450,2540518
2023-07-18,33650,34000,32700,32850,2934269
2023-07-17,34750,34800,33400,33700,3726154
2023-07-14,38200,38200,34700,34750,7656540
2023-07-13,37900,38950,37150,38150,3778433
2023-07-12,37500,38050,36350,37800,3108606
2023-07-11,36300,37650,36250,37250,3129881
2023-07-10,38300,38350,35600,36300,3766431
2023-07-07,37750,38100,37000,37650,2105493
2023-07-06,38750,38900,37250,37900,2464193
2023-07-05,37550,39500,37050,38550,4205242
2023-07-04,36250,38150,35950,37850,4314391
2023-07-03,36750,36900,35650,36250,2209143
2023-06-30,36500,38200,36200,36550,7394417
2023-06-29,35850,36800,35300,35650,1700566
2023-06-28,37000,37000,35650,35750,1535161
2023-06-27,37050,37400,36450,36700,1311308
2023-06-26,36500,37300,36150,37050,2369244
2023-06-23,38550,38550,36700,36900,3427907
2023-06-22,38500,38950,38050,38400,3258900
2023-06-21,38950,40250,38250,38500,7294249
2023-06-20,37900,39800,36800,39350,11328030
2023-06-19,33850,37600,33700,37500,11119907
2023-06-16,33050,33900,32900,33800,3084186
2023-06-15,32600,33050,31950,32600,2149231
2023-06-14,31500,33300,31250,32600,4933659
2023-06-13,32200,32250,31250,31250,2051679
2023-06-12,31450,32750,31450,32150,2937927
2023-06-09,31350,31350,30950,31150,831869
2023-06-08,31400,31650,31100,31350,1045037
2023-06-07,31250,31450,31050,31250,805851
2023-06-05,32100,32150,31000,31100,1548950
2023-06-02,31100,32000,31000,31900,1603712
2023-06-01,31200,31800,30850,30900,1131634
2023-05-31,31300,31500,30950,30950,743775
2023-05-30,31500,31550,30550,31250,1201606
2023-05-26,31700,32050,30900,31250,1099121
2023-05-25,31950,32100,31350,31550,1094322
2023-05-24,31550,31800,31150,31550,1066698
2023-05-23,32150,32150,31400,31650,1026579
2023-05-22,31750,32350,31400,32050,1744205
2023-05-19,31400,31600,31050,31400,1230484
2023-05-18,31250,31400,30850,31150,1519918
2023-05-17,32650,32850,31100,31150,3151455
2023-05-16,32950,33250,32600,32950,1161286
2023-05-15,32900,33300,32400,32750,1433968
2023-05-12,34050,34100,32550,32900,2010699
2023-05-11,34000,34450,33700,34050,1580843
2023-05-10,33950,34850,33450,33600,1971674
2023-05-09,34600,34900,33450,33700,1759609
2023-05-08,34150,35250,34050,34200,2575448
2023-05-04,34700,35550,33400,33550,3664963
2023-05-03,34000,35700,33850,34650,4152079
2023-05-02,32950,34400,32600,33950,4009441
2023-04-28,34100,34350,32400,32900,6291237
2023-04-27,33900,35000,33400,34750,5736710
2023-04-26,35600,36050,33050,34400,10007075
2023-04-25,35800,37800,34900,36400,18242874
2023-04-24,33550,36350,33350,35150,18168255
2023-04-21,32050,34000,31150,33200,23819442
2023-04-20,28600,33150,28500,31700,30787700
2023-04-19,28300,28550,28150,28400,1445169
2023-04-18,28200,28400,27700,28350,2027383
2023-04-17,27650,28300,27600,28150,3024458
2023-04-14,27400,27450,27050,27250,1452864
2023-04-13,26800,27200,26500,27200,1257286
2023-04-12,26300,27000,26250,26850,1847716
2023-04-11,26200,26650,25850,26200,1303642
2023-04-10,26550,26750,25950,26300,1425658
2023-04-07,26850,26850,26250,26550,1091069
2023-04-06,27650,27700,26650,26750,1907496
2023-04-05,26600,27700,26500,27400,4278245
2023-04-04,26600,26800,26300,26450,1576414
2023-04-03,26100,26800,26000,26350,2733446
2023-03-31,25850,25950,25650,25800,1081721
2023-03-30,25600,25900,25400,25750,1121382
2023-03-29,25800,25800,25400,25550,829288
2023-03-28,25050,25900,25000,25700,1638532
2023-03-27,25150,25200,24500,25100,819981
2023-03-24,25150,25200,24800,25000,682772
2023-03-23,24700,25400,24700,25000,1182858
2023-03-22,26150,26150,24750,24950,1968830
2023-03-21,26050,26200,25750,25850,1209986
2023-03-20,25450,26000,25400,25800,1434881
2023-03-17,25750,25800,25400,25550,1366299
2023-03-16,24850,25700,24750,25600,1323289
2023-03-15,24300,25300,24300,25250,1713387
2023-03-14,24550,24800,23950,24050,1203733
2023-03-13,24050,24600,23700,24550,1603186
2023-03-10,25000,25100,24450,24600,1391139
2023-03-09,24900,25600,24800,25400,1980615
2023-03-08,25050,25100,24750,24900,1177924
2023-03-07,25400,25450,25100,25300,1098277
2023-03-06,25400,25850,25300,25400,1519361
2023-03-03,25250,25450,25050,25100,906155
2023-03-02,25150,25450,25000,25050,1006093
2023-02-28,25000,25350,24800,24950,1347212
2023-02-27,25750,25800,24800,25150,1400976
2023-02-24,25700,26050,25450,25750,1304327
2023-02-23,26550,26600,25600,25600,2914767
2023-02-22,25450,25750,25400,25400,1484713
2023-02-21,25800,26100,25750,25900,835145
2023-02-20,25950,26150,25600,25800,834043
2023-02-17,25450,25900,25300,25700,868403
2023-02-16,25500,25900,25500,25700,1216529
2023-02-15,26500,26550,25250,25350,3137300
2023-02-14,26750,26850,26350,26400,1430992
2023-02-13,27000,27150,26350,26600,1639044
2023-02-10,26700,27200,26300,26900,1929842
2023-02-09,26350,26950,26300,26700,1447777
2023-02-08,26600,27150,26500,26700,2343426
2023-02-07,26800,27000,26200,26400,2423965
2023-02-06,27200,27250,26550,26700,6126510
2023-02-03,28300,28650,27950,28350,1592112
2023-02-02,28450,28700,27950,28250,2516047
2023-02-01,27900,28350,27800,28150,3336060
2023-01-31,27200,27750,26750,27600,3715462
2023-01-30,29200,30650,26650,27000,17330042
2023-01-27,28900,29700,28600,28800,4323667
2023-01-26,26550,29350,26500,29300,7337326
2023-01-25,26800,26900,26200,26450,1359635
2023-01-20,26200,26550,26000,26500,1105974
2023-01-19,26400,26700,26150,26300,1365237
2023-01-18,27800,27800,26600,26700,1730408
2023-01-17,27850,28500,27550,27600,2134976
2023-01-16,28850,28850,27650,27800,2368626
2023-01-13,27550,28450,27350,28400,2714868
2023-01-12,27350,28200,27150,27350,2838646
2023-01-11,26750,27200,26650,27050,1497471
2023-01-10,27050,27350,26400,26650,1368942
2023-01-09,26350,27100,26200,27000,1395372
2023-01-06,25300,26450,25300,26100,1564810
2023-01-05,26600,26950,25250,25800,2684678
2023-01-04,26750,26900,25950,26600,1529638
2023-01-03,27750,27950,26500,27000,1673004
2023-01-02,28750,29200,27650,27850,1637980
2022-12-29,28200,28750,27700,28400,1722904
2022-12-28,28650,29100,28000,28100,1759396
2022-12-27,27650,29100,27550,28850,2838401
2022-12-26,27050,27800,26450,27600,1753688
2022-12-23,27250,27550,26850,26950,1408619
2022-12-22,27700,27850,27200,27650,1280591
2022-12-21,27550,27750,27250,27400,1070513
2022-12-20,27700,28400,27250,27300,2348084
