"date","open","high","low","close","volume"
2023-11-17,100100,101000,89500,90300,1478659
2023-11-16,100700,102800,99600,99800,324000
2023-11-15,100900,101000,98500,99800,372398
2023-11-14,98100,101000,97100,98500,414539
2023-11-13,106200,108300,96200,97600,1325148
2023-11-10,104900,105900,102000,103400,218172
2023-11-09,104500,106500,100700,104900,339158
2023-11-08,105300,105800,103500,103700,210486
2023-11-07,107000,108400,103500,104400,312815
2023-11-06,106400,107900,104000,107900,548770
2023-11-03,108100,109200,104600,105000,247760
2023-11-02,106100,110000,106100,107500,359264
2023-11-01,103700,105500,100700,105200,247053
2023-10-31,104500,106000,102000,102600,225425
2023-10-30,103300,105500,102700,103700,148026
2023-10-27,101500,105500,101500,103600,368134
2023-10-26,103200,103600,99600,100300,605670
2023-10-25,108200,109400,106100,106900,283901
2023-10-24,104500,107000,103100,106500,348054
2023-10-23,99900,103700,99800,102300,314222
2023-10-20,101400,102900,99800,100900,378755
2023-10-19,105200,106000,101700,101700,475325
2023-10-18,108700,109500,106900,107900,294240
2023-10-17,113000,113500,108300,108700,312448
2023-10-16,112400,114000,109700,111300,289415
2023-10-13,113500,117000,112500,113500,280212
2023-10-12,107900,114400,107700,114300,431076
2023-10-11,106900,109000,106500,107600,252232
2023-10-10,110100,110300,105300,105600,382321
2023-10-06,112400,113800,109300,110000,267177
2023-10-05,112100,115000,109000,111400,401492
2023-10-04,111700,112800,107900,109200,403116
2023-09-27,110900,112800,107600,112300,306142
2023-09-26,113200,115800,111300,111900,404852
2023-09-25,104500,114000,104500,113200,847047
2023-09-22,102200,105700,101100,105500,329301
2023-09-21,108500,108700,103800,104000,340439
2023-09-20,110100,110400,106800,108800,244971
2023-09-19,109400,111100,108800,109600,248782
2023-09-18,109900,111600,108400,108800,283953
2023-09-15,111800,112200,109200,110600,311562
2023-09-14,109400,112200,108400,112100,532602
2023-09-13,107200,111700,105800,107600,459681
2023-09-12,107000,109400,106500,107100,406224
2023-09-11,108300,108300,104300,106300,391723
2023-09-08,106000,108200,104500,107700,395615
2023-09-07,105400,106600,103600,105400,473360
2023-09-06,105600,107800,104700,105200,372374
2023-09-05,106500,107100,104300,107000,488578
2023-09-04,106100,107000,104000,106600,651239
2023-09-01,112800,113900,105800,106000,1101709
2023-08-31,117000,118000,112200,112200,3518801
2023-08-30,117400,118200,115700,116600,600909
2023-08-29,114700,118800,111900,116600,738326
2023-08-28,111200,114400,109400,113900,444360
2023-08-25,109200,112400,108500,110600,314889
2023-08-24,110900,112400,109300,111000,421731
